Company,Date,Market Cap
AMGN,2010-02-12,55310000000.0
AMGN,2010-05-03,55170000000.0
AMGN,2010-07-30,52270000000.0
AMGN,2010-10-29,54030000000.0
AMGN,2011-02-11,50110000000.0
AMGN,2011-04-29,52860000000.0
AMGN,2011-06-30,46180000000.0
AMGN,2011-07-27,49720000000.0
AMGN,2011-10-26,49920000000.0
AMGN,2012-04-26,55050000000.0
AMGN,2012-07-25,60090000000.0
AMGN,2012-10-29,67239999999.99999
AMGN,2013-02-19,62970000000.0
AMGN,2013-04-24,78700000000.0
AMGN,2013-07-30,83770000000.0
AMGN,2013-10-22,87640000000.0
AMGN,2014-02-13,93730000000.0
AMGN,2014-04-22,90310000000.0
AMGN,2014-07-29,93670000000.0
AMGN,2014-10-21,109600000000.0
AMGN,2015-02-12,116240000000.0
AMGN,2015-04-20,126190000000.0
AMGN,2015-07-28,130979999999.99998
AMGN,2015-10-27,122190000000.0
AMGN,2016-02-09,107670000000.0
AMGN,2016-04-25,122790000000.0
AMGN,2016-07-25,124650000000.0
AMGN,2016-10-24,118110000000.0
AMGN,2017-02-09,123330000000.0
AMGN,2017-04-18,118580000000.0
AMGN,2017-07-18,129500000000.0
AMGN,2017-10-17,135160000000.0
AMGN,2018-02-09,124990000000.0
AMGN,2018-04-18,115870000000.0
AMGN,2018-07-18,124790000000.0
AMGN,2018-10-24,119720000000.0
AMGN,2019-02-07,114640000000.0
AMGN,2019-04-24,108750000000.0
AMGN,2019-07-24,105410000000.0
AMGN,2019-08-30,2020000000.0
AMGN,2019-10-23,120810000000.0
AMGN,2020-02-06,136509999999.99998
AMGN,2020-04-27,142610000000.0
AMGN,2020-07-23,147740000000.0
AMGN,2020-10-23,132250000000.0
AMGN,2021-02-03,136930000000.0
AMGN,2021-04-22,146540000000.0
AMGN,2021-07-29,137680000000.0
AMGN,2021-10-28,116690000000.0
AMGN,2022-02-11,127110000000.0
AMGN,2022-04-22,133740000000.00002
AMGN,2022-08-01,131400000000.0
AMGN,2022-10-31,144250000000.0
AMGN,2023-02-06,130210000000.00002
AMGN,2023-04-24,130620000000.0
AMGN,2023-07-31,125250000000.0
AMGN,2023-10-26,144340000000.0
AMGN,2024-02-09,156020000000.0
AMGN,2024-04-29,148260000000.0
AMGN,2024-08-01,180290000000.0
AMGN,2024-10-25,170390000000.0
AMGN,2025-02-11,159370000000.0
