Company,Date,Market Cap
CRWD,2019-06-12,1040000000.0
CRWD,2019-06-30,1410000000.0
CRWD,2019-08-31,1680000000.0
CRWD,2019-08-01,1610000000.0
CRWD,2019-11-29,2370000000.0
CRWD,2020-02-29,6860000000.0
CRWD,2020-05-31,13280000000.0
CRWD,2020-08-31,23190000000.0
CRWD,2020-11-30,28860000000.0
CRWD,2021-02-28,42170000000.0
CRWD,2021-05-31,44260000000.0
CRWD,2021-08-25,55580000000.0
CRWD,2022-02-28,41010000000.0
CRWD,2022-05-31,34140000000.0
CRWD,2022-08-19,40930000000.0
CRWD,2022-11-18,30340000000.0
CRWD,2023-05-15,30380000000.0
CRWD,2023-08-15,33820000000.0
CRWD,2023-11-15,46500000000.0
CRWD,2024-02-29,74350000000.0
CRWD,2024-05-30,72940000000.0
CRWD,2024-08-15,60620000000.0
CRWD,2024-11-15,78750000000.0
CRWD,2025-02-28,96590000000.0
