Company,Date,Market Cap
CSCO,2010-02-11,137009999999.99998
CSCO,2010-05-20,133130000000.0
CSCO,2010-09-15,120590000000.0
CSCO,2010-11-18,108690000000.0
CSCO,2011-02-17,103260000000.0
CSCO,2011-05-18,91580000000.0
CSCO,2011-09-08,87690000000.0
CSCO,2011-11-15,102790000000.0
CSCO,2012-02-14,108100000000.0
CSCO,2012-05-18,88230000000.0
CSCO,2012-09-05,99980000000.0
CSCO,2012-11-15,95250000000.0
CSCO,2013-02-14,111920000000.0
CSCO,2013-05-16,127680000000.0
CSCO,2013-09-04,127440000000.0
CSCO,2013-11-15,115170000000.0
CSCO,2014-02-14,116210000000.0
CSCO,2014-05-16,124840000000.0
CSCO,2014-09-04,127020000000.0
CSCO,2014-11-14,134590000000.0
CSCO,2015-02-13,150230000000.0
CSCO,2015-05-15,150290000000.0
CSCO,2015-09-03,131090000000.0
CSCO,2015-11-13,133039999999.99998
CSCO,2016-02-12,126360000000.0
CSCO,2016-05-19,138670000000.0
CSCO,2016-09-02,159610000000.0
CSCO,2016-11-17,150840000000.0
CSCO,2017-02-16,168260000000.0
CSCO,2017-05-18,156900000000.0
CSCO,2017-09-01,159950000000.0
CSCO,2017-11-16,177380000000.0
CSCO,2018-02-15,212360000000.0
CSCO,2018-05-17,204390000000.0
CSCO,2018-08-31,218370000000.0
CSCO,2018-11-15,210280000000.0
CSCO,2019-02-14,213060000000.0
CSCO,2019-05-16,239420000000.0
CSCO,2019-08-30,198720000000.0
CSCO,2019-11-14,190520000000.0
CSCO,2020-02-13,200680000000.0
CSCO,2020-05-14,185150000000.0
CSCO,2020-08-28,178650000000.0
CSCO,2020-11-12,163400000000.0
CSCO,2021-02-11,200870000000.0
CSCO,2021-05-20,222720000000.0
CSCO,2021-09-03,250620000000.0
CSCO,2021-11-18,226190000000.0
CSCO,2022-02-17,231680000000.0
CSCO,2022-05-19,6430000000.0
CSCO,2022-09-02,183210000000.0
CSCO,2022-11-17,191400000000.0
CSCO,2023-02-16,208850000000.0
CSCO,2023-05-18,196420000000.0
CSCO,2023-09-01,234530000000.0
CSCO,2023-11-16,195210000000.0
CSCO,2024-02-15,198650000000.0
CSCO,2024-05-16,194750000000.0
CSCO,2024-08-30,201690000000.0
CSCO,2024-11-14,230680000000.0
CSCO,2025-02-13,253970000000.0
