Company,Date,Market Cap
CSX,2010-02-05,16739999999.999998
CSX,2010-03-26,19850000000.0
CSX,2010-06-25,19840000000.0
CSX,2010-09-24,21010000000.0
CSX,2011-01-28,25660000000.0
CSX,2011-03-28,80130000000.0
CSX,2011-04-01,29180000000.0
CSX,2011-06-16,26800000000.0
CSX,2011-07-01,29360000000.0
CSX,2011-09-30,19600000000.0
CSX,2012-01-27,23950000000.0
CSX,2012-03-30,22360000000.0
CSX,2012-06-29,23250000000.0
CSX,2012-09-28,21400000000.0
CSX,2013-01-25,22700000000.0
CSX,2013-03-29,25170000000.0
CSX,2013-06-28,23630000000.0
CSX,2013-09-27,26200000000.0
CSX,2014-01-24,26400000000.0
CSX,2014-03-28,28700000000.0
CSX,2014-06-27,30760000000.0
CSX,2014-09-26,32170000000.0
CSX,2015-03-27,32799999999.999996
CSX,2015-06-26,33119999999.999996
CSX,2015-09-25,25860000000.0
CSX,2015-12-22,25100000000.0
CSX,2016-01-22,21590000000.0
CSX,2016-03-25,25020000000.0
CSX,2016-06-24,24310000000.0
CSX,2016-09-23,27760000000.0
CSX,2017-01-27,44530000000.0
CSX,2017-03-31,42950000000.0
CSX,2017-06-30,49830000000.0
CSX,2017-09-30,48490000000.0
CSX,2018-01-31,50370000000.0
CSX,2018-03-31,48770000000.0
CSX,2018-06-30,54770000000.0
CSX,2018-09-30,62530000000.0
CSX,2019-01-31,53590000000.0
CSX,2019-03-31,60540000000.0
CSX,2019-06-30,61750000000.0
CSX,2019-07-19,11200000000.0
CSX,2019-09-30,54190000000.0
CSX,2020-01-31,59070000000.0
CSX,2020-03-31,43860000000.0
CSX,2020-06-30,53350000000.0
CSX,2020-09-30,59400000000.0
CSX,2021-01-31,65390000000.0
CSX,2021-03-31,73030000000.0
CSX,2021-06-29,71710000000.0
CSX,2021-06-30,72320000000.0
CSX,2021-09-30,65959999999.99999
CSX,2022-01-31,75060000000.0
CSX,2022-06-30,62220000000.0
CSX,2022-09-30,56010000000.0
CSX,2023-01-31,63780000000.0
CSX,2023-03-31,60870000000.0
CSX,2023-06-30,68420000000.0
CSX,2023-09-30,60770000000.0
CSX,2024-01-31,69940000000.0
CSX,2024-03-31,72470000000.0
CSX,2024-06-30,64849999999.99999
CSX,2024-09-30,66590000000.0
CSX,2025-01-31,62280000000.0
