Company,Date,Market Cap
CTAS,2010-03-31,4300000000.0
CTAS,2010-06-30,3660000000.0
CTAS,2010-09-30,4000000000.0
CTAS,2010-12-31,4059999999.9999995
CTAS,2011-03-31,4400000000.0
CTAS,2011-06-30,4330000000.0
CTAS,2011-09-30,3650000000.0
CTAS,2011-12-31,4520000000.0
CTAS,2012-03-31,5080000000.0
CTAS,2012-06-30,4890000000.0
CTAS,2012-09-30,5170000000.0
CTAS,2012-12-31,5040000000.0
CTAS,2013-03-31,5410000000.0
CTAS,2013-06-30,5570000000.0
CTAS,2013-09-30,6140000000.0
CTAS,2013-12-31,7140000000.0
CTAS,2014-03-31,7160000000.0
CTAS,2014-06-30,7400000000.0
CTAS,2014-09-30,8260000000.0
CTAS,2014-12-31,9200000000.0
CTAS,2015-03-31,9340000000.0
CTAS,2015-06-30,9320000000.0
CTAS,2015-09-30,9260000000.0
CTAS,2015-12-31,9850000000.0
CTAS,2016-03-31,9610000000.0
CTAS,2016-06-30,10230000000.0
CTAS,2016-09-30,11820000000.0
CTAS,2016-12-31,12140000000.0
CTAS,2017-03-31,13330000000.0
CTAS,2017-06-30,13290000000.0
CTAS,2017-09-30,15340000000.0
CTAS,2017-12-31,16590000000.0
CTAS,2018-03-31,18200000000.0
CTAS,2018-06-30,19670000000.0
CTAS,2018-09-30,21150000000.0
CTAS,2018-12-31,17560000000.0
CTAS,2019-03-31,21130000000.0
CTAS,2019-06-30,24320000000.0
CTAS,2019-09-30,27750000000.0
CTAS,2019-12-31,27920000000.0
CTAS,2020-03-31,18020000000.0
CTAS,2020-06-30,27570000000.0
CTAS,2020-09-30,34820000000.0
CTAS,2020-12-31,37120000000.0
CTAS,2021-03-31,35860000000.0
CTAS,2021-06-30,39330000000.0
CTAS,2021-09-30,39360000000.0
CTAS,2022-06-30,37800000000.0
CTAS,2022-09-30,39420000000.0
CTAS,2022-12-31,45890000000.0
CTAS,2023-03-31,47060000000.0
CTAS,2023-06-30,50570000000.0
CTAS,2023-09-30,48990000000.0
CTAS,2023-12-31,61090000000.0
CTAS,2024-03-31,69710000000.0
CTAS,2024-06-30,70560000000.0
CTAS,2024-09-30,83030000000.0
CTAS,2024-12-31,73730000000.0
