Company,Date,Market Cap
DDOG,2019-09-19,901200000.0
DDOG,2020-02-14,3060000000.0
DDOG,2020-05-04,8070000000.0
DDOG,2020-07-31,17810000000.0
DDOG,2020-11-02,18380000000.0
DDOG,2021-02-15,25010000000.0
DDOG,2021-04-28,21420000000.0
DDOG,2021-07-28,26720000000.0
DDOG,2022-02-15,44660000000.0
DDOG,2022-04-26,33790000000.0
DDOG,2022-07-29,29670000000.0
DDOG,2022-10-26,23800000000.0
DDOG,2023-02-15,26090000000.0
DDOG,2023-04-26,20520000000.0
DDOG,2023-08-02,31950000000.0
DDOG,2023-11-01,24200000000.0
DDOG,2024-02-15,40330000000.0
DDOG,2024-05-01,38990000000.0
DDOG,2024-08-02,33369999999.999996
DDOG,2024-11-01,38610000000.0
DDOG,2025-02-06,45950000000.0
