Company,Date,Market Cap
FANG,2012-10-12,614450000.0
FANG,2012-11-16,622110000.0
FANG,2013-02-22,775980000.0
FANG,2013-04-30,971270000.0
FANG,2013-07-24,1580000000.0
FANG,2013-10-28,2520000000.0
FANG,2014-02-03,2360000000.0
FANG,2014-04-25,3630000000.0
FANG,2014-07-29,4850000000.0
FANG,2014-10-29,3920000000.0
FANG,2015-02-18,4350000000.0
FANG,2015-05-05,4710000000.0
FANG,2015-08-05,4350000000.0
FANG,2015-11-03,5150000000.0
FANG,2016-02-16,4850000000.0
FANG,2016-04-29,6210000000.0
FANG,2016-08-03,6820000000.0
FANG,2016-11-03,7230000000.0
FANG,2017-02-13,9400000000.0
FANG,2017-04-28,9800000000.0
FANG,2017-07-28,9480000000.0
FANG,2017-11-01,10780000000.0
FANG,2018-02-07,11630000000.0
FANG,2018-05-04,12550000000.0
FANG,2018-08-03,12900000000.0
FANG,2018-11-02,11580000000.0
FANG,2019-02-15,17340000000.0
FANG,2019-05-03,16540000000.0
FANG,2019-08-02,15900000000.0
FANG,2019-06-30,3560000000.0
FANG,2019-11-01,13920000000.0
FANG,2020-02-14,11870000000.0
FANG,2020-05-01,6360000000.0
FANG,2020-07-31,6290000000.0
FANG,2020-10-30,4099999999.9999995
FANG,2021-02-19,10360000000.0
FANG,2021-04-30,14790000000.0
FANG,2021-07-30,13960000000.0
FANG,2021-10-29,19420000000.0
FANG,2022-02-18,23320000000.0
FANG,2022-04-29,22400000000.0
FANG,2022-07-29,22200000000.0
FANG,2022-11-04,28400000000.0
FANG,2023-02-17,24730000000.0
FANG,2023-04-28,25750000000.0
FANG,2023-07-28,26040000000.0
FANG,2023-11-03,29010000000.0
FANG,2024-02-16,32020000000.000004
FANG,2024-04-26,37050000000.0
FANG,2024-08-02,33729999999.999996
FANG,2024-11-01,51330000000.0
FANG,2025-02-21,45190000000.0
