Company,Date,Market Cap
GILD,2010-02-19,44120000000.0
GILD,2010-04-30,35340000000.0
GILD,2010-07-30,27940000000.0
GILD,2010-10-29,32210000000.0
GILD,2011-02-18,31250000000.0
GILD,2011-04-29,30570000000.0
GILD,2011-07-29,32680000000.0
GILD,2011-10-28,32140000000.0
GILD,2012-02-10,40710000000.0
GILD,2012-04-27,39500000000.0
GILD,2012-07-20,40160000000.0
GILD,2012-10-26,50820000000.0
GILD,2013-01-28,59760000000.0
GILD,2013-02-15,63330000000.0
GILD,2013-04-26,78370000000.0
GILD,2013-07-19,91990000000.0
GILD,2013-10-18,104590000000.0
GILD,2014-02-14,124920000000.0
GILD,2014-04-25,39590000000.0
GILD,2014-07-25,135810000000.0
GILD,2014-10-31,168970000000.0
GILD,2015-02-13,151770000000.0
GILD,2015-04-30,147710000000.0
GILD,2015-07-31,172970000000.0
GILD,2015-10-30,155830000000.0
GILD,2016-02-12,122250000000.0
GILD,2016-04-29,117480000000.0
GILD,2016-07-31,104870000000.0
GILD,2016-10-31,97000000000.0
GILD,2017-02-16,91900000000.0
GILD,2017-04-28,89580000000.0
GILD,2017-07-31,99370000000.0
GILD,2017-10-31,97920000000.0
GILD,2018-02-15,106830000000.0
GILD,2018-04-30,93920000000.0
GILD,2018-07-30,98940000000.0
GILD,2018-10-30,93190000000.0
GILD,2019-02-15,86210000000.0
GILD,2019-03-15,83670000000.0
GILD,2019-04-30,82700000000.0
GILD,2019-07-30,84970000000.0
GILD,2019-10-31,80600000000.0
GILD,2020-02-18,84680000000.0
GILD,2020-04-30,105370000000.0
GILD,2020-07-31,87170000000.0
GILD,2020-10-30,72890000000.0
GILD,2021-02-18,81970000000.0
GILD,2021-04-30,79600000000.0
GILD,2021-07-30,85620000000.0
GILD,2021-10-29,81380000000.0
GILD,2022-02-18,76550000000.0
GILD,2022-04-29,74430000000.0
GILD,2022-07-29,74890000000.0
GILD,2022-10-31,98410000000.0
GILD,2023-02-17,105700000000.0
GILD,2023-04-28,102540000000.0
GILD,2023-07-31,94870000000.0
GILD,2023-10-31,97860000000.0
GILD,2024-02-16,89170000000.0
GILD,2024-04-30,81230000000.0
GILD,2024-07-31,94690000000.0
GILD,2024-10-31,110690000000.0
GILD,2025-02-21,136930000000.0
