Company,Date,Market Cap
INTC,2010-02-05,107550000000.0
INTC,2010-04-23,133759999999.99998
INTC,2010-07-23,120770000000.0
INTC,2010-10-22,110670000000.0
INTC,2011-02-04,118980000000.0
INTC,2011-04-29,122740000000.0
INTC,2011-07-29,117250000000.0
INTC,2011-10-28,127200000000.0
INTC,2012-02-10,133389999999.99998
INTC,2012-04-27,142780000000.0
INTC,2012-07-27,130180000000.0
INTC,2012-10-19,105840000000.0
INTC,2013-02-08,103870000000.0
INTC,2013-04-19,111550000000.0
INTC,2013-07-19,114790000000.0
INTC,2013-10-18,118710000000.0
INTC,2014-02-07,120370000000.0
INTC,2014-04-18,134610000000.00002
INTC,2014-07-18,166850000000.0
INTC,2014-10-17,151720000000.0
INTC,2015-02-16,162730000000.0
INTC,2015-04-17,154040000000.0
INTC,2015-07-17,140100000000.0
INTC,2015-10-16,155920000000.0
INTC,2016-02-05,137180000000.0
INTC,2016-04-22,149400000000.0
INTC,2016-07-22,163980000000.0
INTC,2017-02-07,171860000000.0
INTC,2017-09-30,178210000000.0
INTC,2018-02-07,210990000000.0
INTC,2018-03-31,2427000000000.0
INTC,2018-06-30,229210000000.0
INTC,2018-09-29,215830000000.0
INTC,2019-01-26,211540000000.0
INTC,2019-03-30,240410000000.0
INTC,2019-06-29,212060000000.0
INTC,2019-09-28,220890000000.0
INTC,2020-01-17,254910000000.0
INTC,2020-03-28,221730000000.0
INTC,2020-06-27,244550000000.0
INTC,2020-09-26,204650000000.0
INTC,2021-01-15,233950000000.0
INTC,2021-03-27,261950000000.0
INTC,2021-06-26,226830000000.0
INTC,2021-09-25,220510000000.0
INTC,2022-01-21,211910000000.0
INTC,2022-04-02,196720000000.0
INTC,2022-07-02,14920000000.0
INTC,2023-01-20,120880000000.0
INTC,2023-04-21,126380000000.0
INTC,2023-07-21,142480000000.0
INTC,2023-10-20,147220000000.0
INTC,2024-01-19,203580000000.0
INTC,2024-04-19,145590000000.0
INTC,2024-07-26,134050000000.00002
INTC,2024-10-25,408980000.0
INTC,2025-01-24,729730000.0
