Company,Date,Market Cap
ISRG,2010-01-21,11720000000.0
ISRG,2010-04-15,15200000000.0
ISRG,2010-07-12,12490000000.0
ISRG,2010-10-08,11390000000.0
ISRG,2011-01-20,11260000000.0
ISRG,2011-04-15,14160000000.0
ISRG,2011-07-14,13910000000.0
ISRG,2011-10-13,15100000000.0
ISRG,2012-01-20,17540000000.0
ISRG,2012-04-13,21700000000.0
ISRG,2012-07-16,21430000000.0
ISRG,2012-10-10,19670000000.0
ISRG,2013-01-18,20400000000.0
ISRG,2013-04-10,20030000000.0
ISRG,2013-07-10,16780000000.000002
ISRG,2013-10-08,14510000000.0
ISRG,2014-01-17,16420000000.000002
ISRG,2014-04-14,16320000000.0
ISRG,2014-07-14,13830000000.0
ISRG,2014-10-13,16860000000.0
ISRG,2015-01-16,19420000000.0
ISRG,2015-04-17,19930000000.0
ISRG,2015-07-16,18140000000.0
ISRG,2015-10-15,17270000000.0
ISRG,2016-01-19,20800000000.0
ISRG,2016-04-15,23760000000.0
ISRG,2016-07-15,25810000000.0
ISRG,2016-10-13,27640000000.0
ISRG,2017-01-20,25470000000.0
ISRG,2017-04-14,28180000000.0
ISRG,2017-07-18,35170000000.0
ISRG,2017-08-25,36490000000.0
ISRG,2017-10-06,40430000000.0
ISRG,2017-10-17,39780000000.0
ISRG,2018-01-19,48650000000.0
ISRG,2018-04-13,46980000000.0
ISRG,2018-07-17,59580000000.0
ISRG,2018-10-16,62000000000.0
ISRG,2019-01-18,62120000000.0
ISRG,2019-04-16,64819999999.99999
ISRG,2019-07-16,59420000000.0
ISRG,2019-10-15,61050000000.0
ISRG,2020-01-17,69590000000.0
ISRG,2020-04-14,59230000000.0
ISRG,2020-07-20,78120000000.0
ISRG,2020-10-14,88290000000.0
ISRG,2021-01-15,91630000000.0
ISRG,2021-04-16,96220000000.0
ISRG,2021-07-15,113240000000.0
ISRG,2021-10-05,117590000000.0
ISRG,2021-10-14,118230000000.0
ISRG,2022-01-26,94610000000.0
ISRG,2022-07-19,76580000000.0
ISRG,2022-10-18,68459999999.99999
ISRG,2023-02-07,88670000000.0
ISRG,2023-04-17,94220000000.0
ISRG,2023-07-18,124710000000.0
ISRG,2023-10-16,96520000000.0
ISRG,2024-01-25,132110000000.00002
ISRG,2024-04-15,133850000000.0
ISRG,2024-07-16,155650000000.0
ISRG,2024-10-15,170420000000.0
ISRG,2025-01-27,204540000000.0
