Company,Date,Market Cap
KHC,2015-07-06,86910000000.0
KHC,2016-02-28,94590000000.0
KHC,2016-07-31,105190000000.0
KHC,2016-10-30,107220000000.0
KHC,2017-02-18,117640000000.0
KHC,2017-04-29,110060000000.0
KHC,2017-07-29,106770000000.0
KHC,2017-10-28,94190000000.0
KHC,2018-02-10,87000000000.0
KHC,2018-04-28,70300000000.0
KHC,2018-07-28,73470000000.0
KHC,2018-10-27,66640000000.0
KHC,2019-06-05,34730000000.0
KHC,2019-08-03,39300000000.0
KHC,2019-10-26,34660000000.0
KHC,2020-02-08,36080000000.0
KHC,2020-04-25,35710000000.0
KHC,2020-07-25,42400000000.0
KHC,2020-10-24,38350000000.0
KHC,2021-02-13,43290000000.0
KHC,2021-04-24,49430000000.0
KHC,2021-07-31,47060000000.0
KHC,2021-10-23,44580000000.0
KHC,2022-02-12,42500000000.0
KHC,2022-04-23,52850000000.0
KHC,2022-07-23,46960000000.0
KHC,2022-10-22,43130000000.0
KHC,2023-02-11,48550000000.0
KHC,2023-04-29,48190000000.0
KHC,2023-07-29,44420000000.0
KHC,2023-10-28,38560000000.0
KHC,2024-02-10,43640000000.0
KHC,2024-04-27,46340000000.0
KHC,2024-07-27,40330000000.0
KHC,2024-10-26,42010000000.0
KHC,2025-02-08,35010000000.0
