Company,Date,Market Cap
LRCX,2010-01-29,4219999999.9999995
LRCX,2010-04-29,5370000000.0
LRCX,2010-08-13,4680000000.0
LRCX,2010-10-29,5630000000.0
LRCX,2011-01-28,6130000000.0
LRCX,2011-04-29,6010000000.0
LRCX,2011-08-12,4790000000.0
LRCX,2011-10-28,5300000000.0
LRCX,2012-01-30,5090000000.0
LRCX,2012-04-27,5060000000.0
LRCX,2012-08-14,6350000000.0
LRCX,2012-10-26,6060000000.0
LRCX,2013-01-25,6790000000.0
LRCX,2013-05-03,7490000000.0
LRCX,2013-08-20,7870000000.0
LRCX,2013-11-01,8710000000.0
LRCX,2014-01-31,8210000000.000001
LRCX,2014-05-02,9330000000.0
LRCX,2014-08-20,11610000000.0
LRCX,2014-10-28,12040000000.0
LRCX,2015-01-28,12700000000.0
LRCX,2015-04-27,12080000000.0
LRCX,2015-08-05,11710000000.0
LRCX,2015-10-23,11810000000.0
LRCX,2016-01-29,11410000000.0
LRCX,2016-04-21,12900000000.0
LRCX,2016-08-10,14280000000.0
LRCX,2016-10-20,15780000000.0
LRCX,2017-01-26,18620000000.0
LRCX,2017-04-20,22480000000.0
LRCX,2017-08-10,24280000000.0
LRCX,2017-10-19,32549999999.999996
LRCX,2018-01-25,32470000000.0
LRCX,2018-04-19,31230000000.0
LRCX,2018-08-09,29070000000.0
LRCX,2018-10-22,22390000000.0
LRCX,2019-01-28,25340000000.0
LRCX,2019-04-26,30940000000.0
LRCX,2019-08-15,28750000000.0
LRCX,2019-10-25,39180000000.0
LRCX,2020-01-31,43400000000.0
LRCX,2020-04-24,38710000000.0
LRCX,2020-08-13,54900000000.0
LRCX,2020-10-23,50970000000.0
LRCX,2021-01-29,69160000000.0
LRCX,2021-04-26,91730000000.0
LRCX,2021-08-12,82830000000.0
LRCX,2021-10-22,78390000000.0
LRCX,2022-01-28,78280000000.0
LRCX,2022-04-22,64239999999.99999
LRCX,2022-08-22,62680000000.0
LRCX,2022-10-20,48530000000.0
LRCX,2023-01-26,67160000000.0
LRCX,2023-04-20,70730000000.0
LRCX,2023-08-10,90950000000.0
LRCX,2023-10-19,79330000000.0
LRCX,2024-01-25,113480000000.0
LRCX,2024-04-25,117860000000.0
LRCX,2024-08-22,108540000000.0
LRCX,2024-10-24,98520000000.0
LRCX,2025-01-29,96470000000.0
