Company,Date,Market Cap
MCHP,2010-01-31,4760000000.0
MCHP,2010-05-21,5080000000.0
MCHP,2010-07-30,5660000000.0
MCHP,2010-10-29,6010000000.0
MCHP,2011-01-31,6870000000.0
MCHP,2011-05-20,7610000000.0
MCHP,2011-07-29,6430000000.0
MCHP,2011-10-28,6970000000.0
MCHP,2012-01-31,7090000000.0
MCHP,2012-05-25,5990000000.0
MCHP,2012-07-27,6370000000.0
MCHP,2012-10-31,6100000000.0
MCHP,2013-01-31,6530000000.0
MCHP,2013-05-24,7160000000.0
MCHP,2013-07-31,7840000000.0
MCHP,2013-10-31,8520000000.0
MCHP,2014-01-31,8930000000.0
MCHP,2014-05-23,9350000000.0
MCHP,2014-07-31,9020000000.0
MCHP,2014-10-31,8660000000.0
MCHP,2015-01-21,9300000000.0
MCHP,2015-05-20,9850000000.0
MCHP,2015-08-04,9030000000.0
MCHP,2015-10-28,9860000000.0
MCHP,2016-01-27,8820000000.0
MCHP,2016-05-16,10300000000.0
MCHP,2016-07-31,11980000000.0
MCHP,2016-10-31,13080000000.0
MCHP,2017-01-31,14580000000.0
MCHP,2017-05-19,18390000000.0
MCHP,2017-07-26,19240000000.0
MCHP,2017-10-27,22160000000.0
MCHP,2018-01-31,22310000000.0
MCHP,2018-05-09,21590000000.0
MCHP,2018-08-06,22520000000.0
MCHP,2018-11-05,16399999999.999998
MCHP,2019-01-31,19050000000.0
MCHP,2019-05-28,18820000000.0
MCHP,2019-08-05,19910000000.0
MCHP,2019-10-31,22530000000.0
MCHP,2020-01-29,24540000000.0
MCHP,2020-05-14,21050000000.0
MCHP,2020-10-31,27360000000.0
MCHP,2021-01-31,36650000000.0
MCHP,2021-05-07,40960000000.0
MCHP,2021-07-28,37780000000.0
MCHP,2021-10-13,38500000000.0
MCHP,2021-10-28,41300000000.0
MCHP,2022-01-27,39500000000.0
MCHP,2022-05-12,36280000000.0
MCHP,2022-07-27,36830000000.0
MCHP,2022-10-27,33680000000.0
MCHP,2023-01-26,42870000000.0
MCHP,2023-05-22,43190000000.0
MCHP,2023-07-26,48080000000.0
MCHP,2023-10-26,39370000000.0
MCHP,2024-01-26,46970000000.0
MCHP,2024-05-16,50600000000.0
MCHP,2024-07-26,46580000000.0
MCHP,2024-10-28,41460000000.0
MCHP,2025-01-28,30270000000.0
