Company,Date,Market Cap
MDB,2017-10-19,258750000.0
MDB,2017-12-11,250500000.0
MDB,2018-03-26,597000000.0
MDB,2018-06-04,1200000000.0
MDB,2018-09-04,2320000000.0
MDB,2018-12-03,3010000000.0
MDB,2019-03-25,5610000000.0
MDB,2019-06-03,5480000000.0
MDB,2019-09-03,7060000000.0
MDB,2019-12-05,6270000000.0
MDB,2020-03-23,6150000000.0
MDB,2020-06-02,11910000000.0
MDB,2020-08-31,13760000000.0
MDB,2020-12-07,16899999999.999998
MDB,2021-03-16,19510000000.0
MDB,2021-06-01,18000000000.0
MDB,2021-08-31,25930000000.0
MDB,2021-12-06,28660000000.0
MDB,2022-03-15,20150000000.0
MDB,2022-05-31,16149999999.999998
MDB,2022-08-30,22720000000.0
MDB,2022-12-05,10300000000.0
MDB,2023-03-15,14860000000.0
MDB,2023-05-31,20740000000.0
MDB,2023-08-30,26790000000.0
MDB,2023-12-05,31300000000.0
MDB,2024-03-13,27150000000.0
MDB,2024-05-29,24500000000.0
MDB,2024-08-28,17390000000.0
MDB,2024-12-06,25570000000.0
