Company,Date,Market Cap
MRVL,2010-03-15,12720000000.0
MRVL,2010-05-31,12230000000.0
MRVL,2010-08-20,10510000000.0
MRVL,2010-11-12,12900000000.0
MRVL,2011-03-18,9890000000.0
MRVL,2011-05-27,9890000000.0
MRVL,2011-08-26,7810000000.0
MRVL,2011-11-25,7670000000.0
MRVL,2012-03-16,8930000000.0
MRVL,2012-05-25,7360000000.0
MRVL,2012-08-24,5830000000.0
MRVL,2012-11-21,4179999999.9999995
MRVL,2013-03-21,5090000000.0
MRVL,2013-05-30,5440000000.0
MRVL,2013-08-29,5920000000.0
MRVL,2013-11-27,7040000000.0
MRVL,2014-03-20,8150000000.0
MRVL,2014-05-30,7910000000.0
MRVL,2014-08-28,7160000000.0
MRVL,2014-11-26,7340000000.0
MRVL,2015-03-19,8140000000.000001
MRVL,2015-05-28,7350000000.0
MRVL,2016-07-11,5110000000.0
MRVL,2016-07-29,6010000000.0
MRVL,2016-08-26,6280000000.0
MRVL,2016-11-28,7350000000.0
MRVL,2017-03-22,7960000000.0
MRVL,2017-05-30,8730000000.0
MRVL,2017-08-24,7860000000.0
MRVL,2017-11-27,11480000000.0
MRVL,2018-03-22,10950000000.0
MRVL,2018-05-29,10970000000.0
MRVL,2018-09-05,13480000000.0
MRVL,2018-12-03,10770000000.0
MRVL,2019-03-21,13700000000.0
MRVL,2019-05-30,14670000000.0
MRVL,2019-08-29,16140000000.0
MRVL,2019-11-27,17890000000.0
MRVL,2020-03-16,11760000000.0
MRVL,2020-05-22,20050000000.0
MRVL,2020-08-21,22420000000.0
MRVL,2020-11-27,30300000000.0
MRVL,2021-03-09,29640000000.0
MRVL,2021-06-02,38940000000.0
MRVL,2021-08-20,49290000000.0
MRVL,2021-11-26,60750000000.0
MRVL,2022-03-03,55280000000.0
MRVL,2022-05-20,45950000000.0
MRVL,2022-08-19,45310000000.0
MRVL,2022-11-25,36670000000.0
MRVL,2023-03-02,39610000000.0
MRVL,2023-05-19,39100000000.0
MRVL,2023-08-18,49690000000.0
MRVL,2023-11-24,48440000000.0
MRVL,2024-03-06,70470000000.0
MRVL,2024-05-24,66370000000.00001
MRVL,2024-08-23,62230000000.0
MRVL,2024-11-27,77960000000.0
MRVL,2025-03-05,78070000000.0
