Company,Date,Market Cap
MSTR,2010-02-16,794260000.0
MSTR,2010-04-26,803110000.0
MSTR,2010-07-28,711560000.0
MSTR,2010-10-27,735650000.0
MSTR,2011-02-10,917080000.0
MSTR,2011-04-26,1050000000.0
MSTR,2011-07-27,1340000000.0
MSTR,2011-10-27,1170000000.0
MSTR,2012-02-03,1060000000.0
MSTR,2012-03-31,1200000000.0
MSTR,2012-04-24,1180000000.0
MSTR,2012-07-24,986950000.0
MSTR,2012-10-23,1000000000.0
MSTR,2013-02-04,898470000.0
MSTR,2013-04-23,888130000.0
MSTR,2013-07-23,879420000.0
MSTR,2013-10-22,906550000.0
MSTR,2014-02-03,1120000000.0
MSTR,2014-04-22,981870000.0
MSTR,2014-07-22,1270000000.0
MSTR,2014-10-22,1360000000.0
MSTR,2015-02-20,1670000000.0
MSTR,2015-04-23,1640000000.0
MSTR,2015-07-23,1680000000.0
MSTR,2015-10-22,1820000000.0
MSTR,2016-02-22,1450000000.0
MSTR,2016-04-21,1770000000.0
MSTR,2016-07-22,1760000000.0
MSTR,2016-10-19,1600000000.0
MSTR,2017-01-30,1870000000.0
MSTR,2017-04-18,1740000000.0
MSTR,2017-07-18,1780000000.0
MSTR,2017-10-16,1280000000.0
MSTR,2018-01-26,1300000000.0
MSTR,2018-04-16,1250000000.0
MSTR,2018-07-16,1280000000.0
MSTR,2018-10-15,1210000000.0
MSTR,2019-02-11,1130000000.0
MSTR,2019-04-15,1230000000.0
MSTR,2019-07-16,1020000000.0
MSTR,2019-10-15,1190000000.0
MSTR,2020-02-03,1210000000.0
MSTR,2021-02-02,5240000000.0
MSTR,2021-07-22,4330000000.0
MSTR,2022-02-01,3480000000.0
MSTR,2022-04-26,3650000000.0
MSTR,2023-02-02,2800000000.0
MSTR,2023-07-25,5290000000.0
MSTR,2023-10-24,5330000000.0
MSTR,2024-04-24,19960000000.0
MSTR,2024-07-25,28060000000.0
MSTR,2024-10-21,40090000000.0
MSTR,2025-02-04,82800000000.0
