Company,Date,Market Cap
MU,2010-01-06,9540000000.0
MU,2010-04-05,9070000000.0
MU,2010-07-08,8640000000.0
MU,2010-10-19,7270000000.0
MU,2011-01-04,8420000000.0
MU,2011-04-05,11040000000.0
MU,2011-07-05,7810000000.0
MU,2011-10-18,5700000000.0
MU,2012-01-03,6680000000.0
MU,2012-04-02,8020000000.0
MU,2012-07-03,7010000000.0
MU,2012-10-18,5750000000.0
MU,2012-12-31,6480000000.0
MU,2013-04-02,9580000000.0
MU,2013-07-01,14820000000.0
MU,2013-10-18,17910000000.0
MU,2014-01-02,22980000000.0
MU,2014-04-03,25690000000.0
MU,2014-06-26,34270000000.000004
MU,2014-10-16,30380000000.0
MU,2015-01-02,37440000000.0
MU,2015-04-03,28910000000.0
MU,2015-07-06,19850000000.0
MU,2015-10-21,17840000000.0
MU,2016-01-07,14170000000.0
MU,2016-04-01,11440000000.0
MU,2016-06-30,14290000000.0
MU,2016-10-21,17640000000.0
MU,2017-01-03,24870000000.0
MU,2017-03-21,28230000000.0
MU,2017-06-23,35350000000.0
MU,2017-10-20,47860000000.0
MU,2017-12-15,49030000000.0
MU,2018-03-16,70260000000.0
MU,2018-06-15,67540000000.00001
MU,2018-10-08,48850000000.0
MU,2018-12-12,40390000000.0
MU,2019-03-14,42510000000.0
MU,2019-06-19,37460000000.0
MU,2019-10-10,47910000000.0
MU,2019-12-13,56880000000.0
MU,2020-03-19,40360000000.0
MU,2020-06-23,55370000000.0
MU,2020-10-09,55540000000.0
MU,2021-01-04,82840000000.0
MU,2021-03-25,94300000000.0
MU,2021-06-24,90710000000.0
MU,2021-10-01,79410000000.0
MU,2022-03-24,87330000000.0
MU,2022-06-24,64470000000.0
MU,2022-09-30,54470000000.0
MU,2022-12-16,56820000000.0
MU,2023-03-23,67129999999.99999
MU,2023-06-22,72560000000.0
MU,2023-09-29,74700000000.0
MU,2023-12-14,90730000000.0
MU,2024-03-14,101250000000.0
MU,2024-06-20,159880000000.0
MU,2024-09-27,119190000000.0
MU,2024-12-12,109460000000.0
