Company,Date,Market Cap
ON,2010-02-19,3510000000.0
ON,2010-04-30,3420000000.0
ON,2010-07-30,2910000000.0
ON,2010-10-29,3320000000.0
ON,2011-02-18,5130000000.0
ON,2011-04-29,4670000000.0
ON,2011-07-29,3900000000.0
ON,2011-10-28,3520000000.0
ON,2012-02-17,4240000000.0
ON,2012-04-26,3770000000.0
ON,2012-07-26,3070000000.0
ON,2012-10-26,2760000000.0
ON,2013-02-22,3640000000.0
ON,2013-04-26,3390000000.0
ON,2013-07-26,3590000000.0
ON,2013-10-25,3080000000.0
ON,2014-02-18,4160000000.0
ON,2014-04-25,4170000000.0
ON,2014-07-25,3820000000.0
ON,2014-10-24,3470000000.0
ON,2015-02-20,5180000000.0
ON,2015-04-29,5010000000.0
ON,2015-07-29,4430000000.0
ON,2015-10-28,4550000000.0
ON,2016-02-17,3260000000.0
ON,2016-05-04,3850000000.0
ON,2016-08-03,4030000000.0000005
ON,2016-11-02,4790000000.0
ON,2017-02-17,6550000000.0
ON,2017-05-03,5850000000.0
ON,2017-08-02,6240000000.0
ON,2017-11-01,8980000000.0
ON,2018-02-16,9590000000.0
ON,2018-04-25,9890000000.0
ON,2018-07-25,9930000000.0
ON,2018-10-24,6210000000.0
ON,2019-02-15,9410000000.0
ON,2019-04-24,9490000000.0
ON,2019-07-31,8830000000.0
ON,2019-10-23,7630000000.0
ON,2020-02-13,8890000000.0
ON,2020-05-06,6330000000.0
ON,2020-08-05,8730000000.0
ON,2020-10-28,10090000000.0
ON,2021-02-10,16450000000.0
ON,2021-04-28,17700000000.0
ON,2021-07-28,15960000000.0
ON,2021-10-27,19190000000.0
ON,2022-02-09,29010000000.0
ON,2022-04-27,22250000000.0
ON,2022-10-26,29290000000.0
ON,2023-02-01,33619999999.999996
ON,2023-04-26,31070000000.0
ON,2023-07-26,42830000000.0
ON,2023-10-25,34960000000.0
ON,2024-04-24,28190000000.0
ON,2024-07-24,30030000000.0
ON,2024-10-23,28940000000.0
ON,2025-02-05,21800000000.0
