Company,Date,Market Cap
ORLY,2011-02-21,7800000000.0
ORLY,2011-05-02,8210000000.000001
ORLY,2011-08-01,7980000000.0
ORLY,2011-09-30,8560000000.000001
ORLY,2011-10-31,9760000000.0
ORLY,2011-12-31,10170000000.0
ORLY,2012-02-20,10760000000.0
ORLY,2012-03-31,11510000000.0
ORLY,2012-04-30,13300000000.0
ORLY,2012-08-06,10240000000.0
ORLY,2012-09-30,9700000000.0
ORLY,2012-11-05,10090000000.0
ORLY,2013-02-25,11280000000.0
ORLY,2013-05-06,12180000000.0
ORLY,2013-08-05,13920000000.0
ORLY,2013-11-04,13330000000.0
ORLY,2014-02-24,16370000000.000002
ORLY,2014-05-05,15660000000.0
ORLY,2014-08-04,15650000000.0
ORLY,2014-11-03,17840000000.0
ORLY,2015-02-23,21200000000.0
ORLY,2015-05-04,22500000000.0
ORLY,2015-08-03,24010000000.0
ORLY,2015-11-02,27010000000.0
ORLY,2016-02-22,25220000000.0
ORLY,2016-05-02,25490000000.0
ORLY,2016-08-01,27440000000.0
ORLY,2016-10-31,24980000000.0
ORLY,2017-02-20,24570000000.0
ORLY,2017-05-01,22000000000.0
ORLY,2017-07-31,17980000000.0
ORLY,2017-10-30,18180000000.0
ORLY,2018-02-19,21010000000.0
ORLY,2018-04-30,20980000000.0
ORLY,2018-07-30,24540000000.0
ORLY,2018-10-29,26370000000.0
ORLY,2019-02-18,30410000000.0
ORLY,2019-04-29,29350000000.0
ORLY,2019-07-29,29830000000.0
ORLY,2019-04-05,2060000000.0
ORLY,2019-10-28,33460000000.0
ORLY,2020-02-24,29040000000.0
ORLY,2020-05-04,28820000000.0
ORLY,2020-08-03,35090000000.0
ORLY,2020-11-02,31980000000.0
ORLY,2021-02-22,32060000000.000004
ORLY,2021-05-03,38710000000.0
ORLY,2021-08-02,41450000000.0
ORLY,2021-11-01,41760000000.0
ORLY,2022-02-21,45090000000.0
ORLY,2022-05-02,40140000000.0
ORLY,2022-08-01,44890000000.0
ORLY,2022-10-31,52390000000.0
ORLY,2023-02-20,53980000000.0
ORLY,2023-05-01,56590000000.0
ORLY,2023-07-31,55790000000.0
ORLY,2023-10-30,55030000000.0
ORLY,2024-02-19,62050000000.0
ORLY,2024-04-29,61080000000.0
ORLY,2024-07-29,64860000000.0
ORLY,2024-11-04,66830000000.0
ORLY,2025-02-24,75310000000.0
