Company,Date,Market Cap
ROST,2010-03-12,6480000000.0
ROST,2010-05-20,6380000000.0
ROST,2010-08-19,6060000000.0
ROST,2010-11-18,7560000000.0
ROST,2011-03-10,8300000000.000001
ROST,2011-05-19,9450000000.0
ROST,2011-08-18,8189999999.999999
ROST,2011-11-17,9940000000.0
ROST,2011-12-16,10750000000.0
ROST,2012-03-08,12540000000.0
ROST,2012-05-17,13680000000.0
ROST,2012-08-16,15330000000.0
ROST,2012-11-15,12110000000.0
ROST,2013-03-14,12290000000.0
ROST,2013-05-23,14230000000.0
ROST,2013-08-22,14850000000.0
ROST,2013-11-21,17250000000.0
ROST,2014-03-12,15410000000.0
ROST,2014-05-21,14410000000.0
ROST,2014-08-21,14530000000.0
ROST,2014-11-20,17350000000.0
ROST,2015-03-09,21880000000.0
ROST,2015-05-20,20760000000.0
ROST,2015-06-12,19960000000.0
ROST,2015-08-19,22730000000.0
ROST,2015-11-17,18760000000.0
ROST,2016-03-07,23090000000.0
ROST,2016-05-18,21700000000.0
ROST,2016-08-17,24710000000.0
ROST,2016-11-15,24870000000.0
ROST,2017-03-06,26410000000.0
ROST,2017-05-17,23940000000.0
ROST,2017-08-16,20960000000.0
ROST,2017-11-14,24640000000.0
ROST,2018-03-12,28950000000.0
ROST,2018-05-23,31110000000.0
ROST,2018-08-22,34880000000.0
ROST,2018-11-21,30250000000.0
ROST,2019-03-11,33409999999.999996
ROST,2019-05-22,34470000000.0
ROST,2019-08-21,38230000000.0
ROST,2019-11-20,39630000000.0
ROST,2020-03-09,33740000000.000004
ROST,2020-05-18,32259999999.999996
ROST,2020-08-14,33490000000.000004
ROST,2020-11-13,38540000000.0
ROST,2021-03-08,42910000000.0
ROST,2021-05-14,46600000000.0
ROST,2021-08-13,44300000000.0
ROST,2021-11-12,40810000000.0
ROST,2022-03-07,29870000000.0
ROST,2022-05-13,32210000000.0
ROST,2022-08-12,31280000000.0
ROST,2022-11-11,33119999999.999996
ROST,2023-03-06,38450000000.0
ROST,2023-05-12,35600000000.0
ROST,2023-08-11,38400000000.0
ROST,2023-11-10,41520000000.0
ROST,2024-03-11,48890000000.0
ROST,2024-05-17,44140000000.0
ROST,2024-08-29,9620000000.0
ROST,2024-11-15,46420000000.0
