Company,Date,Market Cap
SBUX,2010-01-26,16760000000.000002
SBUX,2010-04-26,20410000000.0
SBUX,2010-07-26,18790000000.0
SBUX,2010-11-12,22370000000.0
SBUX,2011-01-28,23670000000.0
SBUX,2011-04-29,27140000000.0
SBUX,2011-07-29,29910000000.0
SBUX,2011-11-11,33049999999.999996
SBUX,2012-01-25,35990000000.0
SBUX,2012-04-25,45130000000.0
SBUX,2012-07-25,38310000000.0
SBUX,2012-11-09,37890000000.0
SBUX,2013-01-23,40810000000.0
SBUX,2013-04-24,44790000000.0
SBUX,2013-07-24,50050000000.0
SBUX,2013-11-08,61190000000.0
SBUX,2014-01-22,55630000000.0
SBUX,2014-04-23,52990000000.0
SBUX,2014-07-23,59450000000.0
SBUX,2014-11-07,58210000000.0
SBUX,2015-01-21,60890000000.0
SBUX,2015-04-09,71840000000.0
SBUX,2015-04-22,72530000000.0
SBUX,2015-07-22,84140000000.0
SBUX,2015-11-06,92010000000.0
SBUX,2016-01-20,84130000000.0
SBUX,2016-04-20,89210000000.0
SBUX,2016-07-20,84390000000.0
SBUX,2016-11-11,78490000000.0
SBUX,2017-01-25,85550000000.0
SBUX,2017-04-26,89150000000.0
SBUX,2017-07-26,83660000000.0
SBUX,2017-11-10,81160000000.0
SBUX,2018-01-24,85500000000.0
SBUX,2018-04-25,79640000000.0
SBUX,2018-07-25,69640000000.0
SBUX,2018-11-09,85110000000.0
SBUX,2019-01-23,82610000000.0
SBUX,2019-04-24,92520000000.0
SBUX,2019-06-24,100130000000.0
SBUX,2019-11-08,96570000000.0
SBUX,2020-01-22,108600000000.0
SBUX,2020-04-22,90480000000.0
SBUX,2020-07-22,90290000000.0
SBUX,2020-11-06,106400000000.0
SBUX,2021-01-20,124160000000.0
SBUX,2021-04-21,137550000000.0
SBUX,2021-07-21,140630000000.0
SBUX,2021-11-12,131070000000.0
SBUX,2022-01-26,109950000000.0
SBUX,2022-04-27,85720000000.0
SBUX,2022-07-27,95190000000.0
SBUX,2022-11-11,111770000000.0
SBUX,2023-01-27,125300000000.0
SBUX,2023-07-26,116520000000.0
SBUX,2023-11-10,118590000000.0
SBUX,2024-01-24,104210000000.0
SBUX,2024-04-24,11780000000.0
SBUX,2024-06-30,88220000000.0
SBUX,2024-11-13,113150000000.0
SBUX,2025-01-22,111010000000.0
