Company,Date,Market Cap
TTD,2016-09-21,140470000.0
TTD,2016-11-04,128100000.0
TTD,2017-01-31,304300000.0
TTD,2017-04-30,840790000.0
TTD,2017-07-31,1540000000.0
TTD,2017-10-31,1950000000.0
TTD,2018-01-31,1590000000.0
TTD,2018-04-30,1750000000.0
TTD,2018-07-31,2980000000.0
TTD,2018-10-31,4480000000.0
TTD,2019-01-31,5360000000.0
TTD,2019-04-30,8529999999.999999
TTD,2019-07-31,10280000000.0
TTD,2019-10-31,8000000000.0
TTD,2020-01-31,10880000000.0
TTD,2020-04-30,11960000000.0
TTD,2020-07-31,18830000000.0
TTD,2020-10-30,23760000000.0
TTD,2021-01-31,32630000000.000004
TTD,2021-04-30,31450000000.0
TTD,2021-07-31,35560000000.0
TTD,2021-10-31,32670000000.0
TTD,2022-01-31,30640000000.0
TTD,2022-04-30,26050000000.0
TTD,2022-10-31,23710000000.0
TTD,2023-01-31,22640000000.0
TTD,2023-07-31,40720000000.0
TTD,2023-10-31,31670000000.0
TTD,2024-04-30,36890000000.0
TTD,2024-07-31,40240000000.0
TTD,2024-10-31,54050000000.0
TTD,2025-01-31,53690000000.0
