Company,Date,Market Cap
TTWO,2010-03-05,844670000.0
TTWO,2010-06-04,934840000.0
TTWO,2010-08-31,705320000.0
TTWO,2010-12-14,1030000000.0
TTWO,2011-02-02,1180000000.0
TTWO,2011-05-23,1430000000.0
TTWO,2011-08-03,1130000000.0
TTWO,2011-11-03,1380000000.0
TTWO,2012-01-31,1400000000.0
TTWO,2012-05-21,1010000000.0
TTWO,2012-07-27,820460000.0
TTWO,2012-10-24,1020000000.0
TTWO,2013-02-01,1170000000.0
TTWO,2013-05-09,1470000000.0
TTWO,2013-07-26,1560000000.0
TTWO,2013-10-28,1720000000.0
TTWO,2014-01-31,1880000000.0
TTWO,2014-05-07,2120000000.0
TTWO,2014-08-01,1870000000.0
TTWO,2014-10-22,1850000000.0
TTWO,2014-10-24,1890000000.0
TTWO,2015-01-05,2320000000.0
TTWO,2015-02-02,2530000000.0
TTWO,2015-05-15,2089999999.9999998
TTWO,2015-08-05,2720000000.0
TTWO,2015-10-30,2810000000.0
TTWO,2016-01-29,2940000000.0
TTWO,2016-05-13,3140000000.0
TTWO,2016-07-29,3460000000.0
TTWO,2016-10-28,3870000000.0
TTWO,2017-01-31,5440000000.0
TTWO,2017-05-16,7310000000.0
TTWO,2017-07-31,8470000000.000001
TTWO,2017-10-31,12620000000.0
TTWO,2018-01-31,14490000000.0
TTWO,2018-05-04,12440000000.0
TTWO,2018-07-25,14550000000.0
TTWO,2018-10-26,13670000000.0
TTWO,2019-01-25,11730000000.0
TTWO,2019-05-02,11220000000.0
TTWO,2019-07-24,13460000000.0
TTWO,2019-10-28,13920000000.0
TTWO,2020-01-27,13960000000.0
TTWO,2020-05-07,14670000000.0
TTWO,2020-07-23,17320000000.0
TTWO,2020-10-23,18910000000.0
TTWO,2021-01-28,23070000000.0
TTWO,2021-05-05,19370000000.0
TTWO,2021-07-22,19960000000.0
TTWO,2021-10-22,20840000000.0
TTWO,2022-01-26,18230000000.0
TTWO,2022-05-05,13920000000.0
TTWO,2022-07-29,22120000000.0
TTWO,2022-10-27,20600000000.0
TTWO,2023-01-26,18870000000.0
TTWO,2023-05-05,21080000000.0
TTWO,2023-07-27,25450000000.0
TTWO,2023-10-27,22860000000.0
TTWO,2024-01-29,28660000000.0
TTWO,2024-05-06,25420000000.0
TTWO,2024-07-29,26420000000.0
TTWO,2024-10-25,28410000000.0
TTWO,2025-01-27,33159999999.999996
