Company,Date,Market Cap
TXN,2010-01-31,27940000000.0
TXN,2010-03-31,29910000000.0
TXN,2010-06-30,27820000000.0
TXN,2010-09-30,31870000000.0
TXN,2011-01-31,39740000000.0
TXN,2011-03-31,40130000000.0
TXN,2011-06-30,37930000000.0
TXN,2011-09-30,30450000000.0
TXN,2012-01-03,34009999999.999996
TXN,2012-01-31,37070000000.0
TXN,2012-03-31,38460000000.0
TXN,2012-06-30,32640000000.0
TXN,2012-09-30,30890000000.0
TXN,2013-01-31,36550000000.0
TXN,2013-03-31,39350000000.0
TXN,2013-06-30,38380000000.0
TXN,2013-09-30,44100000000.0
TXN,2014-01-31,45970000000.0
TXN,2014-03-31,50900000000.0
TXN,2014-06-30,51020000000.0
TXN,2014-09-30,50370000000.0
TXN,2015-02-17,60940000000.0
TXN,2015-04-29,57240000000.0
TXN,2015-07-27,50320000000.0
TXN,2015-10-28,59520000000.0
TXN,2016-02-22,53580000000.0
TXN,2016-04-27,60170000000.0
TXN,2016-07-26,71650000000.0
TXN,2016-10-26,71670000000.0
TXN,2017-02-21,77050000000.0
TXN,2017-04-25,82060000000.0
TXN,2017-07-25,80580000000.0
TXN,2017-10-24,95050000000.0
TXN,2018-02-20,103580000000.0
TXN,2018-04-24,96350000000.0
TXN,2018-07-24,110640000000.0
TXN,2018-10-23,96290000000.0
TXN,2019-02-18,100950000000.0
TXN,2019-04-23,109190000000.0
TXN,2019-07-24,120440000000.0
TXN,2019-08-05,19870000000.0
TXN,2019-10-25,112650000000.0
TXN,2020-02-14,123480000000.0
TXN,2020-04-14,101830000000.0
TXN,2020-07-14,120800000000.0
TXN,2020-10-13,141810000000.0
TXN,2021-01-27,149930000000.0
TXN,2021-04-20,171100000000.0
TXN,2021-07-14,176590000000.0
TXN,2021-10-19,183070000000.0
TXN,2022-01-25,160660000000.0
TXN,2022-04-19,165120000000.0
TXN,2022-07-19,150430000000.0
TXN,2022-10-18,137510000000.0
TXN,2023-01-24,160430000000.0
TXN,2023-04-18,163670000000.0
TXN,2023-07-18,166780000000.0
TXN,2023-10-17,140100000000.0
TXN,2024-01-23,158530000000.0
TXN,2024-04-16,152590000000.0
TXN,2024-07-16,188650000000.0
TXN,2024-10-15,182300000000.0
TXN,2025-01-28,164380000000.0
