Company,Date,Market Cap
VRSK,2010-03-05,3440000000.0
VRSK,2010-05-03,3560000000.0
VRSK,2010-08-03,3590000000.0
VRSK,2010-11-02,4240000000.0
VRSK,2011-02-25,4650000000.0
VRSK,2011-04-29,5020000000.0
VRSK,2011-07-29,5000000000.0
VRSK,2011-10-28,5720000000.0
VRSK,2012-02-24,6920000000.0
VRSK,2012-04-27,8210000000.000001
VRSK,2012-07-27,8430000000.0
VRSK,2012-10-26,7780000000.0
VRSK,2013-02-21,9030000000.0
VRSK,2013-04-25,10120000000.0
VRSK,2013-07-26,10320000000.0
VRSK,2013-11-01,11440000000.0
VRSK,2014-02-24,10910000000.0
VRSK,2014-04-25,9620000000.0
VRSK,2014-07-25,10480000000.0
VRSK,2014-10-24,10200000000.0
VRSK,2015-02-20,10720000000.0
VRSK,2015-04-24,11520000000.0
VRSK,2015-07-24,12540000000.0
VRSK,2015-10-23,13750000000.0
VRSK,2016-02-19,11420000000.0
VRSK,2016-04-29,13050000000.0
VRSK,2016-07-29,14410000000.0
VRSK,2016-10-28,13620000000.0
VRSK,2017-02-17,14120000000.0
VRSK,2017-04-28,13690000000.0
VRSK,2017-07-28,14370000000.0
VRSK,2017-10-27,13990000000.0
VRSK,2018-02-16,16300000000.0
VRSK,2018-04-27,17700000000.0
VRSK,2018-07-27,18360000000.0
VRSK,2018-10-26,18740000000.0
VRSK,2019-02-15,20500000000.0
VRSK,2019-04-26,22890000000.0
VRSK,2019-07-26,24940000000.0
VRSK,2010-05-26,503250000.0
VRSK,2019-10-25,24400000000.0
VRSK,2020-02-14,27950000000.0
VRSK,2020-05-01,24900000000.0
VRSK,2020-07-31,30640000000.0
VRSK,2020-10-30,28940000000.0
VRSK,2021-02-19,31010000000.0
VRSK,2021-04-30,30510000000.0
VRSK,2021-07-30,30650000000.0
VRSK,2021-10-29,33890000000.0
VRSK,2022-02-18,30530000000.0
VRSK,2022-04-29,32220000000.0
VRSK,2022-07-29,29860000000.0
VRSK,2022-10-28,28320000000.0
VRSK,2023-02-24,26560000000.0
VRSK,2023-04-28,28110000000.0
VRSK,2023-07-28,33670000000.0
VRSK,2023-10-27,32460000000.0
VRSK,2024-02-16,35090000000.0
VRSK,2024-04-26,31550000000.0
VRSK,2024-07-26,39870000000.0
VRSK,2024-10-25,37370000000.0
VRSK,2025-02-21,41400000000.0
