Company,Date,Market Cap
WDAY,2012-11-30,1300000000.0
WDAY,2013-02-28,1450000000.0
WDAY,2013-05-31,4080000000.0
WDAY,2013-08-31,4790000000.0
WDAY,2013-10-31,5860000000.0
WDAY,2014-02-28,20230000000.0
WDAY,2014-05-31,14500000000.0
WDAY,2014-08-15,16100000000.000002
WDAY,2014-11-30,16280000000.000002
WDAY,2015-02-28,16160000000.0
WDAY,2015-05-31,15070000000.0
WDAY,2015-08-31,13490000000.0
WDAY,2015-11-30,16239999999.999998
WDAY,2016-02-29,11790000000.0
WDAY,2016-05-31,14940000000.0
WDAY,2016-08-31,16960000000.0
WDAY,2016-11-30,16950000000.0
WDAY,2017-02-28,16829999999.999998
WDAY,2017-05-31,20700000000.0
WDAY,2017-07-31,21240000000.0
WDAY,2017-09-20,14070000000.0
WDAY,2017-10-31,23310000000.0
WDAY,2018-02-28,26850000000.0
WDAY,2018-05-31,28290000000.0
WDAY,2018-08-31,33540000000.0
WDAY,2018-11-30,36080000000.0
WDAY,2019-02-28,31080000000.0
WDAY,2019-05-28,34480000000.0
WDAY,2019-08-28,30390000000.0
WDAY,2019-12-02,28710000000.0
WDAY,2020-02-28,29450000000.0
WDAY,2020-08-26,37810000000.0
WDAY,2020-11-18,40250000000.0
WDAY,2021-02-26,45110000000.0
WDAY,2021-05-24,44230000000.0
WDAY,2021-08-24,46950000000.0
WDAY,2021-11-16,57870000000.0
WDAY,2022-02-24,43580000000.0
WDAY,2022-05-24,31600000000.0
WDAY,2022-08-23,31690000000.0
WDAY,2022-11-23,30170000000.0
WDAY,2023-05-23,39730000000.0
WDAY,2023-08-22,46840000000.0
WDAY,2023-11-22,48960000000.0
WDAY,2024-05-24,46830000000.0
WDAY,2024-08-26,55460000000.0
WDAY,2024-11-29,53500000000.0
WDAY,2025-03-07,54260000000.0
