Company,Date,Market Cap
ZS,2018-03-16,3870000000.0
ZS,2018-05-31,3140000000.0
ZS,2018-08-31,5130000000.0
ZS,2018-11-30,4800000000.0
ZS,2019-02-28,6170000000.0
ZS,2019-05-31,8620000000.0
ZS,2019-08-30,8760000000.0
ZS,2019-11-29,6670000000.0
ZS,2020-02-28,6720000000.0
ZS,2020-05-29,12800000000.0
ZS,2020-08-31,19050000000.0
ZS,2020-11-30,20900000000.0
ZS,2021-02-26,27870000000.0
ZS,2021-05-28,26600000000.0
ZS,2021-08-31,38620000000.0
ZS,2021-11-30,48600000000.0
ZS,2022-02-28,33740000000.000004
ZS,2022-05-31,21720000000.0
ZS,2022-08-31,22780000000.0
ZS,2022-11-30,19250000000.0
ZS,2023-05-31,19770000000.0
ZS,2023-08-31,22970000000.0
ZS,2023-11-30,29300000000.0
ZS,2024-02-29,36260000000.0
ZS,2024-05-31,25690000000.0
ZS,2024-08-30,30490000000.0
ZS,2024-11-30,31700000000.0
ZS,2025-02-28,30360000000.0
