Company,Date,Market Cap
ABNB,2020-12-10,14310000000.0
ABNB,2021-01-05,15380000000.0
ABNB,2021-02-22,23590000000.0
ABNB,2021-05-07,29210000000.0
ABNB,2021-08-02,48970000000.0
ABNB,2021-10-15,58680000000.0
ABNB,2022-02-10,63820000000.0
ABNB,2022-07-18,38990000000.0
ABNB,2022-10-14,43470000000.0
ABNB,2023-02-03,48540000000.0
ABNB,2023-04-20,48830000000.0
ABNB,2023-07-21,63430000000.0
ABNB,2023-10-20,50640000000.0
ABNB,2024-04-22,69140000000.0
ABNB,2024-07-22,28900000000.0
ABNB,2024-10-25,58260000000.0
