Company,Date,Market Cap
ACN,2010-03-19,26790000000.0
ACN,2010-06-18,24810000000.0
ACN,2010-10-12,28990000000.0
ACN,2010-12-13,29400000000.0
ACN,2011-03-18,32630000000.000004
ACN,2011-06-17,34770000000.0
ACN,2011-10-11,36540000000.0
ACN,2011-12-12,37680000000.0
ACN,2012-03-16,41000000000.0
ACN,2012-06-22,36540000000.0
ACN,2012-10-22,50910000000.0
ACN,2012-12-11,53490000000.0
ACN,2013-03-14,59970000000.0
ACN,2013-06-14,61920000000.0
ACN,2013-10-15,55380000000.0
ACN,2013-12-06,2250000000.0
ACN,2014-03-13,64150000000.00001
ACN,2014-06-12,64590000000.0
ACN,2014-10-14,60070000000.0
ACN,2014-12-09,67480000000.00001
ACN,2015-03-12,70150000000.0
ACN,2015-06-11,77300000000.0
ACN,2015-10-16,83050000000.0
ACN,2015-12-07,88240000000.0
ACN,2016-03-10,84200000000.0
ACN,2016-06-09,97340000000.0
ACN,2016-10-14,77500000000.0
ACN,2016-12-12,81470000000.0
ACN,2017-03-09,81560000000.0
ACN,2017-06-08,83790000000.0
ACN,2017-10-12,89010000000.0
ACN,2017-12-11,96830000000.0
ACN,2018-03-14,108250000000.0
ACN,2018-06-14,109700000000.0
ACN,2018-10-10,107330000000.0
ACN,2018-12-03,111030000000.0
ACN,2019-03-14,110510000000.0
ACN,2019-06-13,124290000000.0
ACN,2019-08-09,3810000000.0
ACN,2019-10-09,120760000000.0
ACN,2019-12-02,131120000000.0
ACN,2020-03-05,120820000000.0
ACN,2020-06-11,130050000000.00002
ACN,2020-10-08,148650000000.0
ACN,2020-12-07,164820000000.0
ACN,2021-03-04,164280000000.0
ACN,2021-06-10,189410000000.0
ACN,2021-10-01,213350000000.0
ACN,2021-12-07,244470000000.0
ACN,2022-03-03,211280000000.0
ACN,2022-06-09,196220000000.0
ACN,2022-09-28,174130000000.0
ACN,2022-12-06,187910000000.0
ACN,2023-03-09,172120000000.0
ACN,2023-09-28,199950000000.0
ACN,2024-03-08,253530000000.0
ACN,2024-06-06,196040000000.0
ACN,2024-09-28,235240000000.0
ACN,2024-12-09,242620000000.0
