Company,Date,Market Cap
ADBE,2010-01-15,18800000000.0
ADBE,2010-04-02,18810000000.0
ADBE,2010-06-25,15680000000.0
ADBE,2010-10-01,13360000000.0
ADBE,2011-01-21,16790000000.0
ADBE,2011-04-01,17230000000.0
ADBE,2011-06-24,14800000000.0
ADBE,2011-09-30,11860000000.0
ADBE,2012-01-20,15060000000.0
ADBE,2012-03-23,16770000000.0
ADBE,2012-06-22,15520000000.0
ADBE,2012-09-21,16750000000.0
ADBE,2013-01-18,18940000000.0
ADBE,2013-03-22,21570000000.0
ADBE,2013-06-21,22490000000.0
ADBE,2013-09-27,26010000000.0
ADBE,2014-01-17,30480000000.0
ADBE,2014-03-21,33420000000.0
ADBE,2014-06-20,36110000000.0
ADBE,2014-09-19,33390000000.0
ADBE,2015-01-16,35740000000.0
ADBE,2015-03-20,38700000000.0
ADBE,2015-06-19,39660000000.0
ADBE,2015-09-18,40530000000.0
ADBE,2016-01-15,44440000000.0
ADBE,2016-03-25,46280000000.0
ADBE,2016-06-24,45940000000.0
ADBE,2016-09-23,53440000000.0
ADBE,2017-01-13,53620000000.0
ADBE,2017-03-24,63170000000.0
ADBE,2017-06-23,71750000000.0
ADBE,2017-09-22,73200000000.0
ADBE,2018-01-12,95880000000.0
ADBE,2018-03-23,105890000000.0
ADBE,2018-06-22,119300000000.0
ADBE,2018-09-21,127340000000.0
ADBE,2019-01-18,120720000000.0
ADBE,2019-03-22,126720000000.0
ADBE,2019-06-21,145310000000.0
ADBE,2019-09-20,134530000000.0
ADBE,2020-01-10,163830000000.0
ADBE,2020-03-20,142300000000.0
ADBE,2020-06-19,205300000000.0
ADBE,2020-09-18,224290000000.0
ADBE,2021-01-08,232220000000.0
ADBE,2021-03-26,224230000000.0
ADBE,2021-06-25,276150000000.0
ADBE,2021-09-24,296290000000.0
ADBE,2022-01-14,245570000000.0
ADBE,2022-03-25,203940000000.0
ADBE,2022-06-24,181450000000.0
ADBE,2022-09-23,132289999999.99998
ADBE,2023-01-06,152330000000.0
ADBE,2023-03-24,171990000000.0
ADBE,2023-06-23,220940000000.0
ADBE,2023-09-22,233520000000.0
ADBE,2024-01-05,255200000000.0
ADBE,2024-03-22,223780000000.0
ADBE,2024-06-21,236530000000.0
ADBE,2024-09-20,229920000000.0
ADBE,2025-01-03,187430000000.0
