Company,Date,Market Cap
ADM,2010-01-31,19260000000.0
ADM,2010-04-30,17970000000.0
ADM,2010-10-29,21290000000.0
ADM,2011-01-31,20820000000.0
ADM,2011-04-29,23610000000.0
ADM,2011-07-29,20530000000.0
ADM,2011-10-31,19330000000.0
ADM,2012-01-31,18940000000.0
ADM,2012-04-30,20300000000.0
ADM,2012-07-31,17180000000.0
ADM,2012-10-31,17680000000.0
ADM,2013-01-31,18790000000.0
ADM,2013-04-30,22370000000.0
ADM,2013-07-31,24040000000.0
ADM,2013-10-31,26910000000.0
ADM,2014-01-31,25990000000.0
ADM,2014-04-30,28620000000.0
ADM,2014-07-31,29950000000.0
ADM,2014-10-31,30260000000.0
ADM,2015-01-30,29580000000.0
ADM,2015-04-30,30320000000.0
ADM,2015-07-31,28880000000.0
ADM,2015-10-30,27250000000.0
ADM,2016-01-29,20990000000.0
ADM,2016-04-29,23470000000.0
ADM,2016-07-29,26230000000.0
ADM,2016-10-31,25070000000.0
ADM,2017-02-10,25030000000.0
ADM,2017-04-28,26000000000.0
ADM,2017-07-31,23730000000.0
ADM,2017-10-30,23940000000.0
ADM,2018-02-15,24140000000.0
ADM,2018-04-30,25380000000.0
ADM,2018-07-30,26500000000.0
ADM,2018-11-05,26970000000.0
ADM,2019-02-14,23660000000.0
ADM,2019-04-25,23370000000.0
ADM,2019-07-31,22880000000.0
ADM,2019-10-30,22560000000.0
ADM,2020-02-14,24980000000.0
ADM,2020-04-30,20630000000.0
ADM,2020-07-29,23850000000.0
ADM,2020-10-29,27770000000.0
ADM,2021-02-17,31230000000.0
ADM,2021-04-27,34540000000.0
ADM,2021-07-26,32689999999.999996
ADM,2021-10-25,37280000000.0
ADM,2022-02-16,43230000000.0
ADM,2022-04-25,51180000000.0
ADM,2022-07-25,42390000000.0
ADM,2022-10-24,49040000000.0
ADM,2023-02-13,44880000000.0
ADM,2023-04-24,44010000000.0
ADM,2023-07-24,44560000000.0
ADM,2023-10-23,38620000000.0
ADM,2024-03-08,27940000000.0
ADM,2024-04-29,30010000000.0
ADM,2024-07-29,30270000000.0
ADM,2024-11-12,24610000000.0
