Company,Date,Market Cap
AEE,2010-04-30,6190000000.0
AEE,2011-01-31,6820000000.0
AEE,2011-10-31,7720000000.0
AEE,2012-01-31,7680000000.0
AEE,2012-04-30,7960000000.0
AEE,2012-07-31,8300000000.000001
AEE,2012-10-31,7980000000.0
AEE,2013-01-31,7870000000.0
AEE,2013-04-30,8800000000.0
AEE,2013-07-31,8690000000.0
AEE,2013-10-31,8780000000.0
AEE,2014-01-31,9180000000.0
AEE,2014-04-30,10020000000.0
AEE,2014-07-31,9330000000.0
AEE,2014-09-30,9300000000.0
AEE,2015-01-30,10990000000.0
AEE,2015-04-30,9930000000.0
AEE,2015-07-31,9970000000.0
AEE,2015-10-30,10600000000.0
AEE,2016-01-29,10900000000.0
AEE,2016-04-29,11650000000.0
AEE,2016-07-29,12720000000.0
AEE,2016-10-31,12120000000.0
AEE,2017-01-31,12770000000.0
AEE,2017-04-28,13270000000.0
AEE,2017-07-31,13610000000.0
AEE,2017-10-31,15040000000.0
AEE,2018-01-31,13740000000.0
AEE,2018-04-30,14280000000.0
AEE,2018-07-31,15150000000.0
AEE,2018-10-31,15780000000.0
AEE,2019-01-31,16960000000.0
AEE,2019-04-30,17870000000.0
AEE,2019-07-31,18600000000.0
AEE,2019-10-31,19120000000.0
AEE,2020-01-31,20200000000.0
AEE,2024-04-30,19700000000.0
AEE,2024-07-31,21150000000.0
AEE,2024-10-31,23250000000.0
