Company,Date,Market Cap
AES,2010-02-19,8140000000.000001
AES,2010-04-30,9180000000.0
AES,2010-07-31,8189999999.999999
AES,2010-10-29,9410000000.0
AES,2011-02-23,9660000000.0
AES,2011-05-02,10310000000.0
AES,2011-07-29,9630000000.0
AES,2011-10-28,8940000000.0
AES,2012-02-17,10490000000.0
AES,2012-04-26,9530000000.0
AES,2012-07-27,8960000000.0
AES,2012-11-02,7930000000.0
AES,2013-02-20,8480000000.0
AES,2013-05-03,10320000000.0
AES,2013-08-02,9390000000.0
AES,2013-11-01,10390000000.0
AES,2014-02-18,10690000000.0
AES,2014-05-01,10680000000.0
AES,2014-08-03,10630000000.0
AES,2014-11-03,10070000000.0
AES,2015-02-18,8310000000.000001
AES,2015-05-05,9470000000.0
AES,2015-08-05,8600000000.0
AES,2015-11-02,7410000000.0
AES,2016-02-18,6400000000.0
AES,2016-05-02,7450000000.0
AES,2016-07-29,8140000000.000001
AES,2016-10-31,7760000000.0
AES,2017-02-17,7550000000.0
AES,2017-05-01,7470000000.0
AES,2017-07-31,7380000000.0
AES,2017-10-27,7120000000.0
AES,2018-02-21,6760000000.0
AES,2018-05-01,8080000000.0
AES,2018-07-31,8840000000.0
AES,2018-10-30,9820000000.0
AES,2019-02-21,11470000000.0
AES,2019-05-01,11220000000.0
AES,2019-07-31,11150000000.0
AES,2019-10-31,11320000000.0
AES,2020-02-21,13780000000.0
AES,2020-04-30,8810000000.0
AES,2020-07-30,10260000000.0
AES,2020-11-04,13260000000.0
AES,2021-02-22,17970000000.0
AES,2021-05-03,18220000000.0
AES,2021-08-02,15710000000.0
AES,2021-11-01,16910000000.0
AES,2022-02-22,14020000000.0
AES,2022-05-03,13840000000.0
AES,2022-08-03,15060000000.0
AES,2022-11-01,17590000000.0
AES,2023-02-27,16640000000.0
AES,2023-05-02,15130000000.0
AES,2023-08-01,14070000000.0
AES,2023-10-31,9980000000.0
AES,2024-02-22,11360000000.0
AES,2024-04-30,12720000000.0
AES,2024-07-30,12480000000.0
AES,2024-10-29,11750000000.0
