Company,Date,Market Cap
AIZ,2010-02-16,3590000000.0
AIZ,2010-05-03,4090000000.0
AIZ,2010-08-02,4080000000.0
AIZ,2010-11-01,4250000000.0
AIZ,2011-02-15,4030000000.0000005
AIZ,2011-04-29,3830000000.0
AIZ,2011-07-29,3360000000.0
AIZ,2011-10-28,3610000000.0
AIZ,2012-02-15,3800000000.0
AIZ,2012-04-25,3500000000.0
AIZ,2012-07-26,2700000000.0
AIZ,2012-10-24,3060000000.0
AIZ,2013-02-15,3300000000.0
AIZ,2013-04-26,3580000000.0
AIZ,2013-07-26,3980000000.0
AIZ,2013-10-24,4150000000.0000005
AIZ,2014-02-14,4590000000.0
AIZ,2014-04-24,4810000000.0
AIZ,2014-07-24,4700000000.0
AIZ,2014-10-30,4760000000.0
AIZ,2015-02-12,4570000000.0
AIZ,2015-04-30,4170000000.0
AIZ,2015-07-30,5020000000.0
AIZ,2015-10-29,5430000000.0
AIZ,2016-02-10,4290000000.0
AIZ,2016-04-28,5240000000.0
AIZ,2016-07-29,5000000000.0
AIZ,2016-10-28,4560000000.0
AIZ,2017-02-09,5080000000.0
AIZ,2017-04-28,5270000000.0
AIZ,2017-07-28,5680000000.0
AIZ,2017-10-27,5380000000.0
AIZ,2018-02-08,4470000000.0
AIZ,2018-05-03,4670000000.0
AIZ,2018-08-03,6800000000.0
AIZ,2018-09-30,6730000000.0
AIZ,2019-02-15,6060000000.0
AIZ,2019-05-03,5810000000.0
AIZ,2019-08-02,6790000000.0
AIZ,2019-08-06,1690000000.0
AIZ,2019-11-01,7740000000.0
AIZ,2020-02-14,8529999999.999999
AIZ,2020-04-30,6340000000.0
AIZ,2020-07-31,6410000000.0
AIZ,2020-10-30,7310000000.0
AIZ,2021-02-16,7290000000.0
AIZ,2021-04-30,9420000000.0
AIZ,2021-07-30,9280000000.0
AIZ,2021-10-29,9190000000.0
AIZ,2022-02-11,8930000000.0
AIZ,2022-04-29,9840000000.0
AIZ,2022-07-29,9350000000.0
AIZ,2022-10-28,7120000000.0
AIZ,2023-02-10,7060000000.0
AIZ,2023-07-28,7070000000.0
AIZ,2023-10-27,7680000000.0
AIZ,2024-02-09,9070000000.0
AIZ,2024-05-03,9150000000.0
AIZ,2024-08-02,8970000000.0
AIZ,2024-11-01,9830000000.0
