Company,Date,Market Cap
AKAM,2010-02-24,4430000000.0
AKAM,2010-05-05,6560000000.0
AKAM,2010-08-04,7090000000.0
AKAM,2010-11-04,9780000000.0
AKAM,2011-02-22,7530000000.0
AKAM,2011-05-05,6570000000.0
AKAM,2011-08-04,4219999999.9999995
AKAM,2011-11-04,5350000000.0
AKAM,2012-02-22,6510000000.0
AKAM,2012-05-04,5830000000.0
AKAM,2012-08-06,6350000000.0
AKAM,2012-11-06,6900000000.0
AKAM,2013-02-22,6450000000.0
AKAM,2013-05-06,8010000000.0
AKAM,2013-08-06,8240000000.0
AKAM,2013-11-05,8090000000.0
AKAM,2014-02-25,11010000000.0
AKAM,2014-05-06,9330000000.0
AKAM,2014-08-06,10070000000.0
AKAM,2014-11-05,10510000000.0
AKAM,2015-02-24,12540000000.0
AKAM,2015-05-06,13400000000.0
AKAM,2015-08-05,13580000000.0
AKAM,2015-11-04,11070000000.0
AKAM,2016-02-23,9540000000.0
AKAM,2016-05-05,8690000000.0
AKAM,2016-08-04,8640000000.0
AKAM,2016-11-03,11530000000.0
AKAM,2017-02-22,10910000000.0
AKAM,2017-05-04,9140000000.0
AKAM,2017-08-03,8240000000.0
AKAM,2017-11-06,9090000000.0
AKAM,2018-02-22,11260000000.0
AKAM,2018-05-07,12480000000.0
AKAM,2018-08-06,12770000000.0
AKAM,2018-11-05,11230000000.0
AKAM,2019-02-21,11230000000.0
AKAM,2019-05-06,12960000000.0
AKAM,2019-08-06,14180000000.0
AKAM,2019-11-05,14190000000.0
AKAM,2020-02-25,15170000000.0
AKAM,2020-05-05,16100000000.000002
AKAM,2020-08-04,18180000000.0
AKAM,2020-11-03,15570000000.0
AKAM,2021-02-23,15940000000.0
AKAM,2021-05-04,17149999999.999998
AKAM,2021-08-03,19510000000.0
AKAM,2021-11-02,17079999999.999998
AKAM,2022-02-22,16110000000.0
AKAM,2022-05-03,18240000000.0
AKAM,2022-08-05,15300000000.0
AKAM,2022-11-04,13220000000.0
AKAM,2023-05-05,11960000000.0
AKAM,2023-08-04,14050000000.0
AKAM,2023-11-03,16370000000.000002
AKAM,2024-02-23,16390000000.0
AKAM,2024-05-03,15180000000.0
AKAM,2024-08-05,13840000000.0
AKAM,2024-11-04,15030000000.0
