Company,Date,Market Cap
AME,2010-01-29,3930000000.0
AME,2010-04-29,4690000000.0
AME,2010-07-29,4700000000.0
AME,2010-10-28,5680000000.0
AME,2010-12-22,6290000000.0
AME,2011-01-31,6560000000.0
AME,2011-04-28,7390000000.0
AME,2011-07-28,6900000000.0
AME,2011-10-27,6580000000.0
AME,2012-01-31,7540000000.0
AME,2012-04-26,8060000000.000001
AME,2012-07-02,8080000000.0
AME,2012-07-25,7540000000.0
AME,2012-10-25,8630000000.0
AME,2013-01-31,9970000000.0
AME,2013-04-25,9970000000.0
AME,2013-07-31,11300000000.0
AME,2013-10-25,11530000000.0
AME,2014-01-31,12110000000.0
AME,2014-04-24,12740000000.0
AME,2014-07-28,12640000000.0
AME,2014-10-29,12510000000.0
AME,2015-01-30,11550000000.0
AME,2015-04-23,12730000000.0
AME,2015-07-27,12590000000.0
AME,2015-10-28,12900000000.0
AME,2016-01-29,11080000000.0
AME,2016-04-25,11910000000.0
AME,2016-07-25,10890000000.0
AME,2016-10-25,10370000000.0
AME,2017-01-31,11730000000.0
AME,2017-04-30,13160000000.0
AME,2017-07-25,14260000000.0
AME,2017-10-24,15880000000.0
AME,2018-01-31,17650000000.0
AME,2018-04-25,16660000000.0
AME,2018-07-25,17470000000.0
AME,2018-10-25,15420000000.0
AME,2019-01-31,16559999999.999998
AME,2019-04-25,19570000000.0
AME,2019-07-25,20380000000.0
AME,2019-10-29,20950000000.0
AME,2020-01-31,22260000000.0
AME,2020-04-24,17680000000.0
AME,2020-07-24,21330000000.0
AME,2020-10-23,24790000000.0
AME,2021-01-29,26110000000.0
AME,2021-04-30,31160000000.0
AME,2021-07-30,32150000000.0
AME,2021-10-29,30630000000.0
AME,2022-01-31,31690000000.0
AME,2022-04-29,29150000000.0
AME,2022-07-29,28350000000.0
AME,2022-10-28,29690000000.0
AME,2023-01-31,33350000000.0
AME,2023-04-28,31790000000.0
AME,2023-07-31,36590000000.0
AME,2023-10-27,32130000000.000004
AME,2024-01-31,37440000000.0
AME,2024-04-30,40430000000.0
AME,2024-07-30,39910000000.0
AME,2024-10-29,38740000000.0
