Company,Date,Market Cap
ANET,2014-08-01,4230000000.0000005
ANET,2014-10-31,5230000000.0
ANET,2015-03-06,4500000000.0
ANET,2015-05-08,4380000000.0
ANET,2015-07-31,5700000000.0
ANET,2015-10-30,4370000000.0
ANET,2016-02-19,4440000000.0
ANET,2016-04-29,4570000000.0
ANET,2016-07-29,4940000000.0
ANET,2016-08-26,5500000000.0
ANET,2016-10-28,5970000000.0
ANET,2017-02-10,7010000000.0
ANET,2017-04-28,10060000000.0
ANET,2017-07-28,10910000000.0
ANET,2017-10-27,14300000000.0
ANET,2018-02-09,20130000000.0
ANET,2018-04-27,19550000000.0
ANET,2018-07-31,19130000000.0
ANET,2018-10-26,16559999999.999998
ANET,2019-02-08,17140000000.0
ANET,2019-04-26,24550000000.0
ANET,2019-07-26,20920000000.0
ANET,2019-10-25,18670000000.0
ANET,2020-02-10,17770000000.0
ANET,2020-05-01,15720000000.0
ANET,2020-07-29,18770000000.0
ANET,2020-10-27,15930000000.0
ANET,2021-02-12,24680000000.0
ANET,2021-05-03,24020000000.0
ANET,2021-07-28,28930000000.0
ANET,2021-10-27,30940000000.0
ANET,2021-11-18,40730000000.0
ANET,2022-02-08,37970000000.0
ANET,2022-04-27,35510000000.0
ANET,2022-07-27,33200000000.000004
ANET,2022-10-26,33299999999.999996
ANET,2023-02-08,41810000000.0
ANET,2023-07-26,50910000000.0
ANET,2023-10-25,57890000000.0
ANET,2024-02-07,83490000000.0
ANET,2024-05-02,82060000000.0
ANET,2024-07-26,100280000000.0
ANET,2024-11-04,124360000000.0
