Company,Date,Market Cap
APA,2010-01-31,33240000000.000004
APA,2010-04-30,34320000000.0
APA,2010-07-31,34820000000.0
APA,2010-10-31,36830000000.0
APA,2011-01-31,45690000000.0
APA,2011-04-30,51140000000.0
APA,2011-07-31,47500000000.0
APA,2011-10-31,38260000000.0
APA,2012-01-31,38000000000.0
APA,2012-04-30,37500000000.0
APA,2012-07-31,33689999999.999996
APA,2012-10-31,32369999999.999996
APA,2013-01-31,32810000000.000004
APA,2013-04-30,28950000000.0
APA,2013-07-31,31250000000.0
APA,2013-10-31,35450000000.0
APA,2014-01-31,31680000000.0
APA,2014-04-30,33479999999.999996
APA,2014-07-31,39260000000.0
APA,2014-10-31,29060000000.0
APA,2015-01-31,23580000000.0
APA,2015-04-30,25790000000.0
APA,2015-07-31,17330000000.0
APA,2015-10-31,17820000000.0
APA,2016-01-31,16090000000.0
APA,2016-04-30,20590000000.0
APA,2016-07-31,19920000000.0
APA,2016-10-31,22570000000.0
APA,2017-01-31,22710000000.0
APA,2017-04-30,18500000000.0
APA,2017-07-31,18850000000.0
APA,2017-10-31,15760000000.0
APA,2018-01-31,17120000000.000002
APA,2018-04-30,15650000000.0
APA,2018-07-31,17590000000.0
APA,2018-10-31,14360000000.0
APA,2019-01-31,12320000000.0
APA,2019-04-30,12370000000.0
APA,2019-07-31,9180000000.0
APA,2011-11-02,1110000000.0
APA,2019-10-30,8029999999.999999
APA,2020-01-31,10350000000.0
APA,2020-04-30,4940000000.0
APA,2020-07-29,5150000000.0
APA,2020-10-31,3130000000.0
APA,2021-01-29,5400000000.0
APA,2021-04-30,20000.0
APA,2021-07-31,18750.0
APA,2021-10-31,9520000000.0
APA,2022-01-31,11520000000.0
APA,2022-04-30,13840000000.0
APA,2022-07-31,12140000000.0
APA,2023-01-31,13780000000.0
APA,2023-04-30,11370000000.0
APA,2023-07-31,12440000000.0
APA,2023-10-31,12180000000.0
APA,2024-01-31,9460000000.0
APA,2024-04-30,11670000000.0
APA,2024-07-31,11540000000.0
APA,2024-10-31,8730000000.0
