Company,Date,Market Cap
APO,2011-05-12,2240000000.0
APO,2011-08-09,1720000000.0
APO,2011-11-08,1700000000.0
APO,2012-03-07,1750000000.0
APO,2012-05-09,1520000000.0
APO,2012-08-09,1760000000.0
APO,2012-11-09,1850000000.0
APO,2013-03-01,3090000000.0
APO,2013-05-07,3590000000.0
APO,2013-08-09,3970000000.0
APO,2013-11-08,4530000000.0
APO,2014-02-26,4770000000.0
APO,2014-05-09,3900000000.0
APO,2014-08-08,3840000000.0
APO,2014-11-06,3680000000.0
APO,2015-02-26,3880000000.0
APO,2015-05-08,3740000000.0
APO,2015-08-06,3520000000.0
APO,2015-11-06,3350000000.0
APO,2016-02-26,2770000000.0
APO,2016-05-05,3050000000.0
APO,2016-08-05,3400000000.0
APO,2016-11-03,3320000000.0
APO,2017-02-10,4420000000.0
APO,2017-05-04,5000000000.0
APO,2017-08-07,5800000000.0
APO,2017-11-02,5930000000.0
APO,2018-02-09,6520000000.0
APO,2018-05-03,6180000000.0
APO,2018-08-03,7000000000.0
APO,2018-11-02,5950000000.0
APO,2019-02-26,5870000000.0
APO,2019-05-03,6690000000.0
APO,2019-08-05,6310000000.0
APO,2019-11-04,9730000000.0
APO,2020-02-18,10550000000.0
APO,2020-05-07,9840000000.0
APO,2020-11-04,9320000000.0
APO,2021-02-18,11860000000.0
APO,2021-05-05,13160000000.0
APO,2021-08-04,14340000000.0
APO,2021-11-03,19230000000.0
APO,2022-05-05,30660000000.0
APO,2022-08-05,32850000000.0
APO,2022-11-04,35810000000.0
APO,2023-02-24,40440000000.0
APO,2023-05-05,34340000000.000004
APO,2023-08-02,46100000000.0
APO,2023-11-03,48260000000.0
APO,2024-02-23,63410000000.0
APO,2024-05-03,62280000000.0
APO,2024-08-05,56480000000.0
APO,2024-11-04,78890000000.0
