Company,Date,Market Cap
ARE,2010-02-24,2730000000.0
ARE,2010-04-26,3300000000.0
ARE,2010-07-30,3530000000.0
ARE,2010-11-05,4099999999.9999995
ARE,2011-02-23,4330000000.0
ARE,2011-05-02,4540000000.0
ARE,2011-08-05,4360000000.0
ARE,2011-11-08,4320000000.0
ARE,2012-02-17,4520000000.0
ARE,2012-05-02,4690000000.0
ARE,2012-08-07,4600000000.0
ARE,2012-11-07,4350000000.0
ARE,2013-02-22,4600000000.0
ARE,2013-05-02,4670000000.0
ARE,2013-07-31,4890000000.0
ARE,2013-10-31,4710000000.0
ARE,2014-02-20,5160000000.0
ARE,2014-04-30,5290000000.0
ARE,2014-07-18,5640000000.0
ARE,2014-10-17,5760000000.0
ARE,2015-02-13,6840000000.0
ARE,2015-04-15,6710000000.0
ARE,2015-07-15,6610000000.0
ARE,2015-10-16,6750000000.0
ARE,2016-01-15,5880000000.0
ARE,2016-04-15,6930000000.0
ARE,2016-07-15,8080000000.0
ARE,2016-10-24,8480000000.0
ARE,2017-01-17,9820000000.0
ARE,2017-04-14,10340000000.0
ARE,2017-07-14,11240000000.0
ARE,2017-10-16,11820000000.0
ARE,2018-01-16,12650000000.0
ARE,2018-04-16,12660000000.0
ARE,2018-07-16,13430000000.0
ARE,2018-10-15,13020000000.0
ARE,2019-01-15,13630000000.0
ARE,2019-04-15,16219999999.999998
ARE,2019-07-15,16480000000.0
ARE,2019-10-15,17650000000.0
ARE,2020-01-15,19910000000.0
ARE,2020-04-15,19180000000.0
ARE,2020-07-15,20650000000.0
ARE,2020-10-15,21850000000.0
ARE,2021-01-15,23010000000.0
ARE,2021-04-15,25700000000.0
ARE,2021-07-15,29190000000.0
ARE,2021-10-15,31250000000.0
ARE,2022-01-14,33630000000.000004
ARE,2022-07-15,23300000000.0
ARE,2022-10-14,21590000000.0
ARE,2023-01-13,26930000000.0
ARE,2023-04-14,20500000000.0
ARE,2023-10-13,17180000000.0
ARE,2024-01-12,22090000000.0
ARE,2024-04-15,20840000000.0
ARE,2024-07-15,22230000000.0
ARE,2024-10-15,21180000000.0
ARE,2025-01-15,17040000000.0
