Company,Date,Market Cap
AVB,2010-01-31,6250000000.0
AVB,2010-04-30,8630000000.0
AVB,2010-07-31,8950000000.0
AVB,2010-10-31,9070000000.0
AVB,2011-01-31,9980000000.0
AVB,2011-04-29,11060000000.0
AVB,2011-07-29,11940000000.0
AVB,2011-10-31,12710000000.0
AVB,2012-01-31,12950000000.0
AVB,2012-04-30,13860000000.0
AVB,2012-07-31,14250000000.0
AVB,2012-10-31,13250000000.0
AVB,2013-01-31,14850000000.0
AVB,2013-04-30,17210000000.0
AVB,2013-07-31,17510000000.0
AVB,2013-10-31,16180000000.0
AVB,2014-01-31,15980000000.0
AVB,2014-04-30,17700000000.0
AVB,2014-07-31,19430000000.0
AVB,2014-10-31,20570000000.0
AVB,2014-12-31,21580000000.0
AVB,2015-01-30,22840000000.0
AVB,2015-03-31,23030000000.0
AVB,2015-07-31,22900000000.0
AVB,2015-10-30,23930000000.0
AVB,2016-02-29,23520000000.0
AVB,2016-04-29,24250000000.0
AVB,2016-07-29,25490000000.0
AVB,2016-10-31,23510000000.0
AVB,2017-01-31,23800000000.0
AVB,2017-04-28,26160000000.0
AVB,2017-07-31,26560000000.0
AVB,2017-10-31,25040000000.0
AVB,2018-01-31,23530000000.0
AVB,2018-04-30,22530000000.0
AVB,2018-07-31,24440000000.0
AVB,2018-10-31,24240000000.0
AVB,2019-01-31,26720000000.0
AVB,2019-04-30,28010000000.0
AVB,2019-07-31,29160000000.0
AVB,2019-10-31,30400000000.0
AVB,2020-01-31,30480000000.0
AVB,2020-04-30,22930000000.0
AVB,2020-07-31,21550000000.0
AVB,2020-10-30,19420000000.0
AVB,2021-01-29,22840000000.0
AVB,2021-04-30,26800000000.0
AVB,2021-07-31,31810000000.0
AVB,2021-10-29,33070000000.0
AVB,2022-01-31,34130000000.000004
AVB,2022-04-29,31810000000.0
AVB,2022-07-29,29920000000.0
AVB,2022-10-31,24500000000.0
AVB,2023-01-31,24830000000.0
AVB,2023-04-28,25610000000.0
AVB,2023-07-31,26790000000.0
AVB,2023-10-31,23540000000.0
AVB,2024-01-31,25420000000.0
AVB,2024-04-30,26950000000.0
AVB,2024-07-31,29140000000.0
AVB,2024-10-31,31520000000.0
