Company,Date,Market Cap
AXP,2010-02-22,46590000000.0
AXP,2010-04-30,55400000000.0
AXP,2010-07-30,53710000000.0
AXP,2010-10-28,49620000000.0
AXP,2011-02-22,53250000000.0
AXP,2011-04-29,59000000000.0
AXP,2011-07-29,59740000000.0
AXP,2011-10-31,58790000000.0
AXP,2012-02-22,63450000000.0
AXP,2012-04-30,69300000000.0
AXP,2012-07-31,65420000000.0
AXP,2012-10-26,62390000000.0
AXP,2013-02-15,68150000000.00001
AXP,2013-04-18,71460000000.0
AXP,2013-07-23,80280000000.0
AXP,2013-10-23,86380000000.0
AXP,2014-02-14,94570000000.0
AXP,2014-04-18,91270000000.0
AXP,2014-07-18,97890000000.0
AXP,2014-10-17,85440000000.0
AXP,2015-02-13,79580000000.0
AXP,2015-04-17,78540000000.0
AXP,2015-07-24,76000000000.0
AXP,2015-10-23,73410000000.0
AXP,2016-02-10,50410000000.0
AXP,2016-04-20,61840000000.0
AXP,2016-07-20,59570000000.0
AXP,2016-10-18,54990000000.0
AXP,2017-02-08,70120000000.0
AXP,2017-04-21,71140000000.0
AXP,2017-07-18,75600000000.0
AXP,2017-10-18,79930000000.0
AXP,2018-02-06,81020000000.0
AXP,2018-04-18,81860000000.0
AXP,2018-07-18,88670000000.0
AXP,2018-10-15,87660000000.0
AXP,2019-02-04,87220000000.0
AXP,2019-04-15,92300000000.0
AXP,2019-07-15,106670000000.0
AXP,2019-10-14,95240000000.0
AXP,2020-01-30,107650000000.0
AXP,2020-04-20,67629999999.99999
AXP,2020-07-17,76640000000.0
AXP,2020-10-19,82510000000.0
AXP,2021-02-03,97030000000.0
AXP,2021-04-19,119320000000.0
AXP,2021-07-19,129340000000.0
AXP,2021-10-18,136960000000.00002
AXP,2022-02-03,139750000000.0
AXP,2022-07-18,106710000000.0
AXP,2022-10-12,102180000000.0
AXP,2023-02-02,128840000000.0
AXP,2023-04-13,120630000000.0
AXP,2023-07-19,130440000000.0
AXP,2023-10-17,112510000000.0
AXP,2024-02-01,147100000000.0
AXP,2024-04-15,157100000000.0
AXP,2024-07-16,177460000000.0
AXP,2024-10-15,195350000000.0
