Company,Date,Market Cap
AZO,2010-03-15,8240000000.0
AZO,2010-06-11,8900000000.0
AZO,2010-10-18,10390000000.0
AZO,2010-12-13,11580000000.0
AZO,2011-03-11,11220000000.0
AZO,2011-06-10,12060000000.0
AZO,2011-10-17,13040000000.0
AZO,2011-12-12,13020000000.0
AZO,2012-03-02,14750000000.0
AZO,2012-06-08,14440000000.0
AZO,2012-10-15,13840000000.0
AZO,2012-12-10,12900000000.0
AZO,2013-03-04,13730000000.0
AZO,2013-06-07,14800000000.0
AZO,2013-10-21,14790000000.0
AZO,2013-12-13,15680000000.0
AZO,2014-03-20,17710000000.0
AZO,2014-06-13,17050000000.0
AZO,2014-10-20,16570000000.0
AZO,2014-12-15,19320000000.0
AZO,2015-03-20,21010000000.0
AZO,2015-10-19,22680000000.0
AZO,2015-12-11,22830000000.0
AZO,2016-03-18,23300000000.0
AZO,2016-06-10,22050000000.0
AZO,2016-10-17,21790000000.0
AZO,2016-12-09,22990000000.0
AZO,2017-03-17,20760000000.0
AZO,2017-06-09,17000000000.0
AZO,2017-10-23,16190000000.000002
AZO,2017-12-15,19070000000.0
AZO,2018-03-09,17740000000.0
AZO,2018-06-01,17270000000.0
AZO,2018-10-22,18820000000.0
AZO,2018-12-13,22270000000.0
AZO,2019-03-08,23260000000.0
AZO,2019-05-31,25190000000.0
AZO,2019-10-21,26450000000.0
AZO,2019-12-13,29140000000.0
AZO,2020-03-13,23650000000.0
AZO,2020-06-05,26960000000.0
AZO,2020-10-19,27260000000.0
AZO,2020-12-11,26290000000.0
AZO,2021-03-12,28330000000.0
AZO,2021-06-04,29890000000.0
AZO,2021-10-18,36870000000.0
AZO,2021-12-10,41330000000.0
AZO,2022-03-11,37010000000.0
AZO,2022-06-03,40110000000.0
AZO,2022-10-17,43460000000.0
AZO,2022-12-09,46070000000.0
AZO,2023-03-10,44550000000.0
AZO,2023-06-02,43230000000.0
AZO,2023-10-16,46030000000.0
AZO,2023-12-11,45540000000.0
AZO,2024-05-31,47320000000.0
AZO,2024-10-21,54410000000.0
AZO,2024-12-13,56560000000.0
