Company,Date,Market Cap
BALL,2010-01-31,4780000000.0
BALL,2010-04-25,5110000000.0
BALL,2010-06-27,4930000000.0
BALL,2010-10-24,5420000000.0
BALL,2011-02-06,12470000000.0
BALL,2011-02-16,6510000000.0
BALL,2011-08-07,5800000000.0
BALL,2011-10-30,5800000000.0
BALL,2012-02-15,6200000000.0
BALL,2012-04-29,6550000000.0
BALL,2012-10-28,6590000000.0
BALL,2013-02-15,6810000000.0
BALL,2013-04-30,6560000000.0
BALL,2013-07-31,6500000000.0
BALL,2013-09-30,6490000000.0
BALL,2014-02-14,7680000000.0
BALL,2014-04-30,7830000000.0
BALL,2014-07-31,8480000000.0
BALL,2014-10-29,9120000000.0
BALL,2015-02-16,10290000000.0
BALL,2015-04-27,10290000000.0
BALL,2015-07-27,9210000000.0
BALL,2015-10-26,9230000000.0
BALL,2016-02-12,9240000000.0
BALL,2016-04-22,10750000000.0
BALL,2016-07-31,12310000000.0
BALL,2016-10-31,13470000000.0
BALL,2017-02-20,12830000000.0
BALL,2017-04-30,13500000000.0
BALL,2017-05-17,14040000000.0
BALL,2017-07-31,14740000000.0
BALL,2017-10-31,15030000000.0
BALL,2018-02-20,13740000000.0
BALL,2018-04-30,14000000000.0
BALL,2018-07-31,13400000000.0
BALL,2018-10-31,15200000000.0
BALL,2019-02-20,18190000000.0
BALL,2019-04-30,20060000000.0
BALL,2019-07-31,23730000000.0
BALL,2019-08-06,871090000.0
BALL,2019-10-31,22890000000.0
BALL,2020-02-17,25160000000.0
BALL,2020-04-30,21380000000.0
BALL,2020-07-31,24050000000.0
BALL,2020-10-31,29110000000.0
BALL,2021-02-15,29410000000.0
BALL,2021-04-30,30740000000.0
BALL,2021-07-31,26420000000.0
BALL,2021-10-31,29630000000.0
BALL,2022-02-14,29670000000.0
