Company,Date,Market Cap
BA,2010-02-01,46710000000.0
BA,2010-04-16,53730000000.0
BA,2010-07-21,46230000000.0
BA,2010-10-13,52430000000.0
BA,2011-02-01,51750000000.0
BA,2011-04-20,55420000000.0
BA,2011-07-20,53410000000.0
BA,2011-10-19,46910000000.0
BA,2012-02-01,56200000000.0
BA,2012-04-18,55210000000.0
BA,2012-07-18,55550000000.0
BA,2012-10-17,55520000000.0
BA,2013-02-01,56610000000.0
BA,2013-04-17,65769999999.99999
BA,2013-07-17,79060000000.0
BA,2013-10-16,90430000000.0
BA,2014-02-07,94430000000.0
BA,2014-04-16,91910000000.0
BA,2014-06-30,91780000000.0
BA,2014-07-16,91820000000.0
BA,2014-10-15,85690000000.0
BA,2015-02-05,104670000000.0
BA,2015-04-15,105410000000.0
BA,2015-07-15,99810000000.0
BA,2015-10-04,88810000000.0
BA,2016-02-04,81890000000.0
BA,2016-04-20,83170000000.0
BA,2016-07-20,84040000000.0
BA,2016-10-19,84050000000.0
BA,2017-02-01,100430000000.0
BA,2017-04-19,107680000000.0
BA,2017-07-19,124650000000.0
BA,2017-10-18,154870000000.0
BA,2018-02-05,193540000000.0
BA,2018-04-18,198660000000.0
BA,2018-07-18,206960000000.0
BA,2018-10-17,207560000000.0
BA,2019-02-01,218890000000.0
BA,2019-04-17,212400000000.0
BA,2019-07-17,207930000000.0
BA,2019-10-16,209600000000.0
BA,2020-01-24,181930000000.0
BA,2020-04-22,76170000000.0
BA,2020-07-22,101480000000.0
BA,2020-10-21,92500000000.0
BA,2021-01-25,118560000000.0
BA,2021-04-21,137970000000.0
BA,2021-07-21,130440000000.0
BA,2021-10-20,127040000000.0
BA,2022-01-24,119050000000.0
BA,2022-04-20,108590000000.0
BA,2022-07-20,94050000000.0
BA,2022-10-19,82480000000.0
BA,2023-01-20,123690000000.0
BA,2023-04-19,125560000000.0
BA,2023-07-19,125830000000.0
BA,2023-10-18,112340000000.0
BA,2024-01-24,130650000000.0
BA,2024-04-17,104490000000.0
BA,2024-07-24,110950000000.0
BA,2024-10-16,95760000000.0
BA,2025-01-27,131380000000.0
