Company,Date,Market Cap
BBY,2010-04-26,20380000000.0
BBY,2010-07-02,14120000000.0
BBY,2010-10-01,16219999999.999998
BBY,2010-12-29,13520000000.0
BBY,2011-04-20,11720000000.0
BBY,2011-06-28,11940000000.0
BBY,2011-09-27,8950000000.0
BBY,2011-12-29,8100000000.0
BBY,2012-04-23,7440000000.0
BBY,2012-04-26,7570000000.0
BBY,2012-06-06,6760000000.0
BBY,2012-08-31,5970000000.0
BBY,2012-11-30,4430000000.0
BBY,2013-03-21,7610000000.0
BBY,2013-05-31,9360000000.0
BBY,2013-09-03,12630000000.0
BBY,2013-12-04,14810000000.0
BBY,2014-03-24,9140000000.0
BBY,2014-05-30,9650000000.0
BBY,2014-09-03,10920000000.0
BBY,2014-11-28,13820000000.0
BBY,2015-03-23,14390000000.0
BBY,2015-05-29,12240000000.0
BBY,2015-08-28,12390000000.0
BBY,2015-12-01,10750000000.0
BBY,2016-03-21,10420000000.0
BBY,2016-06-03,10440000000.0
BBY,2016-08-30,12340000000.0
BBY,2016-11-30,14340000000.0
BBY,2017-03-20,14080000000.0
BBY,2017-06-01,18390000000.0
BBY,2017-08-30,16210000000.0
BBY,2017-11-28,16969999999.999998
BBY,2018-03-29,19790000000.0
BBY,2018-06-05,20050000000.0
BBY,2018-09-05,21710000000.0
BBY,2018-12-05,16750000000.0
BBY,2019-03-26,18880000000.0
BBY,2019-06-05,16879999999.999998
BBY,2019-07-31,6560000000.0
BBY,2019-09-04,16850000000.000002
BBY,2019-12-04,20490000000.0
BBY,2020-03-18,13880000000.0
BBY,2020-05-22,19870000000.0
BBY,2020-08-27,28790000000.0
BBY,2020-11-25,29490000000.0
BBY,2021-03-18,28350000000.0
BBY,2021-06-02,29640000000.0
BBY,2021-08-27,28900000000.0
BBY,2021-12-01,24600000000.0
BBY,2022-03-16,22260000000.0
BBY,2022-05-31,18480000000.0
BBY,2022-09-06,16070000000.0
BBY,2022-12-02,19160000000.0
BBY,2023-03-15,16469999999.999998
BBY,2023-05-31,15860000000.0
BBY,2023-08-30,16530000000.000002
BBY,2023-11-29,15250000000.0
BBY,2024-03-13,16700000000.0
BBY,2024-06-05,19190000000.0
BBY,2024-09-04,21460000000.0
BBY,2024-12-04,19350000000.0
