Company,Date,Market Cap
BEN,2010-01-31,22600000000.0
BEN,2010-04-30,26290000000.0
BEN,2010-07-31,22640000000.0
BEN,2010-10-31,25690000000.0
BEN,2011-01-31,26910000000.0
BEN,2011-04-25,27650000000.0
BEN,2011-07-25,29300000000.0
BEN,2011-10-31,23180000000.0
BEN,2012-01-25,22690000000.0
BEN,2012-04-25,26660000000.0
BEN,2012-07-23,23130000000.0
BEN,2012-10-31,27130000000.0
BEN,2013-01-25,28580000000.0
BEN,2013-04-23,32270000000.000004
BEN,2013-07-22,94520000000.0
BEN,2013-07-26,31040000000.0
BEN,2013-10-31,33979999999.999996
BEN,2014-01-23,35440000000.0
BEN,2014-04-21,33460000000.0
BEN,2014-07-23,36310000000.0
BEN,2014-10-31,34610000000.0
BEN,2015-01-23,33150000000.0
BEN,2015-04-22,31840000000.0
BEN,2015-07-22,29760000000.0
BEN,2015-10-31,24520000000.0
BEN,2016-01-27,19680000000.0
BEN,2016-04-20,23970000000.0
BEN,2016-07-21,20170000000.0
BEN,2016-10-31,19150000000.0
BEN,2017-01-20,22960000000.0
BEN,2017-04-21,23020000000.0
BEN,2017-07-21,26030000000.0
BEN,2017-10-31,23340000000.0
BEN,2018-01-23,25110000000.0
BEN,2018-04-19,18460000000.0
BEN,2018-07-20,16860000000.0
BEN,2018-10-31,15650000000.0
BEN,2019-01-23,15830000000.0
BEN,2019-04-18,17920000000.0
BEN,2019-07-23,17610000000.0
BEN,2019-10-31,13720000000.0
BEN,2020-01-22,12850000000.0
BEN,2020-04-23,7860000000.0
BEN,2020-07-21,10530000000.0
BEN,2020-10-31,9460000000.0
BEN,2021-01-26,13960000000.0
BEN,2021-04-27,15040000000.0
BEN,2021-07-27,14800000000.0
BEN,2022-01-25,15840000000.0
BEN,2022-04-26,12890000000.0
BEN,2022-07-21,12770000000.0
BEN,2022-10-31,11710000000.0
BEN,2023-01-23,15190000000.0
BEN,2023-04-24,13520000000.0
BEN,2023-07-21,14630000000.0
BEN,2024-01-22,14920000000.0
BEN,2024-04-22,13460000000.0
BEN,2024-07-19,12290000000.0
BEN,2024-10-31,10880000000.0
BEN,2025-01-23,10500000000.0
