Company,Date,Market Cap
BF.B,2010-02-28,4730000000.0
BF.B,2010-06-14,5370000000.0
BF.B,2010-08-31,5490000000.0
BF.B,2010-11-30,5790000000.0
BF.B,2011-02-28,6130000000.0
BF.B,2011-06-20,6490000000.0
BF.B,2011-08-29,6430000000.0
BF.B,2011-11-30,6840000000.0
BF.B,2012-06-18,7910000000.0
BF.B,2012-08-13,7920000000.0
BF.B,2012-08-23,7950000000.0
BF.B,2012-11-30,9050000000.0
BF.B,2013-02-28,8480000000.0
BF.B,2013-06-17,9130000000.0
BF.B,2013-07-31,9380000000.0
BF.B,2013-11-30,9660000000.0
BF.B,2014-02-28,10800000000.0
BF.B,2014-06-16,12110000000.0
BF.B,2014-07-31,11180000000.0
BF.B,2014-11-30,12320000000.0
BF.B,2015-02-28,11560000000.0
BF.B,2015-07-31,13220000000.0
BF.B,2015-11-30,11980000000.0
BF.B,2016-02-29,11380000000.0
BF.B,2016-05-31,11020000000.0
BF.B,2016-07-31,21840000000.0
BF.B,2016-11-30,9780000000.0
BF.B,2017-02-28,10480000000.0
BF.B,2017-05-31,11180000000.0
BF.B,2017-07-31,10630000000.0
BF.B,2017-11-30,12870000000.0
BF.B,2018-02-28,21760000000.0
BF.B,2018-03-01,14900000000.0
BF.B,2018-05-31,17650000000.0
