Company,Date,Market Cap
BIIB,2010-02-05,14430000000.0
BIIB,2010-04-16,14320000000.0
BIIB,2010-07-16,12550000000.0
BIIB,2010-10-22,14000000000.0
BIIB,2011-01-31,15770000000.0
BIIB,2011-04-18,19960000000.0
BIIB,2011-07-22,25600000000.0
BIIB,2011-10-25,25960000000.0
BIIB,2012-01-31,28160000000.0
BIIB,2012-04-24,30600000000.0
BIIB,2012-07-18,34259999999.999996
BIIB,2012-10-19,34460000000.0
BIIB,2013-01-31,36880000000.0
BIIB,2013-04-18,47160000000.0
BIIB,2013-07-18,53030000000.0
BIIB,2013-10-21,57420000000.0
BIIB,2014-01-31,73910000000.0
BIIB,2014-04-18,68920000000.0
BIIB,2014-07-18,71810000000.0
BIIB,2014-10-17,72430000000.0
BIIB,2015-01-30,91300000000.0
BIIB,2015-03-23,108800000000.0
BIIB,2015-04-17,98660000000.0
BIIB,2015-07-17,95160000000.0
BIIB,2015-10-16,60710000000.0
BIIB,2016-01-29,59710000000.0
BIIB,2016-04-15,58820000000.0
BIIB,2016-07-15,57040000000.0
BIIB,2016-10-21,63240000000.0
BIIB,2017-01-27,60080000000.0
BIIB,2017-04-21,57890000000.0
BIIB,2017-07-21,59820000000.0
BIIB,2017-10-20,71500000000.0
BIIB,2018-01-26,77840000000.0
BIIB,2018-04-20,55500000000.0
BIIB,2018-07-20,72260000000.0
BIIB,2018-10-19,64560000000.0
BIIB,2019-02-01,65090000000.0
BIIB,2019-04-19,43900000000.0
BIIB,2019-07-19,42660000000.0
BIIB,2019-10-21,40330000000.0
BIIB,2020-02-04,49310000000.0
BIIB,2020-04-22,48630000000.0
BIIB,2020-07-21,44360000000.0
BIIB,2020-10-20,41100000000.0
BIIB,2021-02-02,42310000000.0
BIIB,2021-04-21,40630000000.0
BIIB,2021-07-21,48130000000.0
BIIB,2021-10-19,39390000000.0
BIIB,2022-02-02,33060000000.000004
BIIB,2022-05-02,30360000000.0
BIIB,2022-07-19,31960000000.0
BIIB,2022-10-24,39550000000.0
BIIB,2023-02-14,41770000000.0
BIIB,2023-04-24,42410000000.0
BIIB,2023-07-24,40120000000.0
BIIB,2023-11-07,35590000000.0
BIIB,2024-02-12,35580000000.0
BIIB,2024-04-23,28130000000.0
BIIB,2024-07-31,31060000000.0
BIIB,2024-10-29,26740000000.0
