Company,Date,Market Cap
BKNG,2010-02-10,9410000000.0
BKNG,2010-05-03,12770000000.0
BKNG,2010-07-28,10840000000.0
BKNG,2010-11-02,18710000000.0
BKNG,2011-02-17,22380000000.0
BKNG,2011-04-29,27160000000.0
BKNG,2011-07-29,26760000000.0
BKNG,2011-10-31,25280000000.0
BKNG,2012-02-17,29010000000.0
BKNG,2012-05-02,37900000000.0
BKNG,2012-07-31,32970000000.0
BKNG,2012-10-26,28900000000.0
BKNG,2013-02-20,34320000000.0
BKNG,2013-05-02,35440000000.0
BKNG,2013-08-01,46570000000.0
BKNG,2013-11-01,54130000000.0
BKNG,2014-02-13,66540000000.00001
BKNG,2014-05-01,61900000000.0
BKNG,2014-08-01,65340000000.0
BKNG,2014-10-27,59390000000.0
BKNG,2015-02-11,55060000000.0
BKNG,2015-04-30,64160000000.0
BKNG,2015-07-29,61830000000.0
BKNG,2015-11-02,73040000000.0
BKNG,2016-02-09,49180000000.0
BKNG,2016-04-26,66220000000.0
BKNG,2016-07-28,65550000000.0
BKNG,2016-10-31,72750000000.0
BKNG,2017-02-21,80980000000.0
BKNG,2017-05-02,92410000000.0
BKNG,2017-08-01,99320000000.0
BKNG,2017-10-30,91670000000.0
BKNG,2018-02-20,91490000000.0
BKNG,2018-05-02,103570000000.0
BKNG,2018-08-01,96040000000.0
BKNG,2018-10-29,82840000000.0
BKNG,2019-02-20,86700000000.0
BKNG,2019-05-02,78270000000.0
BKNG,2019-07-31,80200000000.0
BKNG,2019-10-31,85750000000.0
BKNG,2020-02-19,80830000000.0
BKNG,2020-04-30,60600000000.0
BKNG,2020-07-30,69110000000.0
BKNG,2020-10-29,66769999999.99999
BKNG,2021-02-17,91500000000.0
BKNG,2021-04-28,102840000000.0
BKNG,2021-07-28,91410000000.0
BKNG,2021-10-27,99710000000.0
BKNG,2022-02-16,110530000000.0
BKNG,2022-04-27,91770000000.0
BKNG,2022-07-27,74550000000.0
BKNG,2022-10-26,71820000000.0
BKNG,2023-02-16,93860000000.0
BKNG,2023-04-27,97480000000.0
BKNG,2023-07-27,105500000000.0
BKNG,2023-10-26,95690000000.0
BKNG,2024-02-15,128160000000.0
BKNG,2024-04-25,118830000000.0
BKNG,2024-07-25,122700000000.0
BKNG,2024-10-23,142750000000.0
