Company,Date,Market Cap
BLDR,2010-03-03,293990000.0
BLDR,2010-04-27,368400000.0
BLDR,2010-07-26,245600000.0
BLDR,2010-10-26,206340000.0
BLDR,2011-02-28,231280000.0
BLDR,2011-04-26,261269999.99999997
BLDR,2011-07-27,242810000.0
BLDR,2011-10-26,153920000.0
BLDR,2012-02-29,295640000.0
BLDR,2012-05-02,406070000.0
BLDR,2012-07-31,348120000.0
BLDR,2012-10-29,499730000.0
BLDR,2013-02-27,582230000.0
BLDR,2013-05-01,589280000.0
BLDR,2013-07-31,573440000.0
BLDR,2013-10-30,740040000.0
BLDR,2014-02-26,833550000.0
BLDR,2014-04-30,769300000.0
BLDR,2014-07-30,611110000.0
BLDR,2014-11-03,577090000.0
BLDR,2015-02-27,592300000.0
BLDR,2015-05-07,1270000000.0
BLDR,2015-08-04,1610000000.0
BLDR,2015-11-04,1350000000.0
BLDR,2016-03-08,1070000000.0000001
BLDR,2016-05-03,1210000000.0
BLDR,2016-08-02,1420000000.0
BLDR,2016-11-01,1080000000.0
BLDR,2017-02-24,1370000000.0
BLDR,2017-05-04,1800000000.0
BLDR,2017-08-02,1760000000.0
BLDR,2017-11-07,1970000000.0
BLDR,2018-02-26,2340000000.0
BLDR,2018-05-07,2160000000.0
BLDR,2018-08-03,2020000000.0
BLDR,2018-10-30,1440000000.0
BLDR,2019-02-26,1610000000.0
BLDR,2019-05-01,1660000000.0
BLDR,2019-07-31,1980000000.0
BLDR,2019-10-30,2590000000.0
BLDR,2020-02-19,3250000000.0
BLDR,2020-04-29,2280000000.0
BLDR,2020-07-29,2770000000.0
BLDR,2020-10-28,3560000000.0
BLDR,2021-02-24,8750000000.0
BLDR,2021-05-04,10110000000.0
BLDR,2021-07-16,8490000000.0
BLDR,2021-08-03,9500000000.0
BLDR,2021-11-02,11150000000.0
BLDR,2022-02-23,11780000000.0
BLDR,2022-05-05,11390000000.0
BLDR,2022-11-03,8320000000.0
BLDR,2023-04-27,11800000000.0
BLDR,2023-07-28,17960000000.0
BLDR,2024-02-15,22790000000.0
BLDR,2024-05-01,22510000000.0
BLDR,2024-08-01,18570000000.0
BLDR,2024-10-31,19730000000.0
