Company,Date,Market Cap
BRO,2010-02-24,2410000000.0
BRO,2010-05-03,2860000000.0
BRO,2010-07-27,2840000000.0
BRO,2010-11-01,3170000000.0
BRO,2011-02-18,3780000000.0
BRO,2011-02-22,3740000000.0
BRO,2011-05-05,3610000000.0
BRO,2011-08-01,3100000000.0
BRO,2011-11-01,3080000000.0
BRO,2012-02-17,3480000000.0
BRO,2012-02-20,3480000000.0
BRO,2012-05-04,3800000000.0
BRO,2012-08-01,3610000000.0
BRO,2012-10-31,3670000000.0
BRO,2013-02-20,4230000000.0000005
BRO,2013-05-04,4530000000.0
BRO,2013-07-31,4780000000.0
BRO,2013-10-31,4640000000.0
BRO,2014-02-19,4330000000.0
BRO,2014-05-05,4300000000.0
BRO,2014-06-30,4440000000.0
BRO,2014-09-30,4620000000.0
BRO,2015-02-19,4750000000.0
BRO,2015-05-05,4460000000.0
BRO,2015-08-05,4740000000.0
BRO,2015-10-29,4600000000.0
BRO,2016-02-22,4420000000.0
BRO,2016-05-03,4950000000.0
BRO,2016-08-02,5100000000.0
BRO,2016-11-04,5090000000.0
BRO,2017-02-23,6040000000.0
BRO,2017-05-01,6040000000.0
BRO,2017-08-01,6240000000.0
BRO,2017-10-30,6900000000.0
BRO,2018-02-23,7290000000.0
BRO,2018-03-29,7010000000.0
BRO,2018-05-07,7600000000.0
BRO,2018-08-06,8220000000.000001
BRO,2018-11-02,7870000000.0
BRO,2019-02-21,8230000000.0
BRO,2019-05-07,9040000000.0
BRO,2019-07-30,10240000000.0
BRO,2019-10-28,10100000000.0
BRO,2020-02-20,13660000000.0
BRO,2020-04-28,10090000000.0
BRO,2020-07-28,12580000000.0
BRO,2020-10-26,13230000000.0
BRO,2021-02-22,13030000000.0
BRO,2021-04-26,14040000000.0
BRO,2021-07-26,15320000000.0
BRO,2021-10-25,18770000000.0
BRO,2022-02-18,18670000000.0
BRO,2022-05-06,16440000000.000002
BRO,2022-07-25,17620000000.0
BRO,2022-11-01,16610000000.0
BRO,2023-02-23,16050000000.0
BRO,2023-04-24,17320000000.0
BRO,2023-07-24,20030000000.0
BRO,2023-10-23,19010000000.0
BRO,2024-02-21,23680000000.0
BRO,2024-04-23,23660000000.0
BRO,2024-07-19,26380000000.0
BRO,2024-10-25,29730000000.0
