Company,Date,Market Cap
BR,2010-01-29,2930000000.0
BR,2010-05-03,3270000000.0
BR,2010-07-30,2570000000.0
BR,2010-10-29,2750000000.0
BR,2011-01-31,2870000000.0
BR,2011-05-02,2870000000.0
BR,2011-07-29,2850000000.0
BR,2011-10-28,2830000000.0
BR,2012-01-31,2970000000.0
BR,2012-04-30,2900000000.0
BR,2012-07-31,2640000000.0
BR,2012-10-31,2810000000.0
BR,2013-01-31,2870000000.0
BR,2013-04-30,3050000000.0
BR,2013-07-31,3450000000.0
BR,2013-10-31,4190000000.0000005
BR,2014-01-31,4330000000.0
BR,2014-04-30,4630000000.0
BR,2014-07-31,4830000000.0
BR,2014-10-31,5270000000.0
BR,2015-01-31,5800000000.0
BR,2015-04-30,6460000000.0
BR,2015-10-30,7070000000.0
BR,2016-01-29,6360000000.0
BR,2016-04-29,7070000000.0
BR,2016-07-29,8010000000.0
BR,2016-10-31,7700000000.0
BR,2017-01-31,7870000000.0
BR,2017-04-28,8220000000.000001
BR,2017-07-31,8840000000.0
BR,2017-10-31,10010000000.0
BR,2018-01-31,11250000000.0
BR,2018-04-30,12640000000.0
BR,2018-07-31,13140000000.0
BR,2018-10-31,13650000000.0
BR,2019-01-31,11660000000.0
BR,2019-04-30,13720000000.0
BR,2019-07-31,14530000000.0
BR,2019-10-31,14360000000.0
BR,2020-01-24,15040000000.0
BR,2020-05-01,12980000000.0
BR,2020-07-31,15470000000.0
BR,2020-10-26,16440000000.000002
BR,2021-01-26,17580000000.0
BR,2021-04-29,18750000000.0
BR,2021-07-30,20150000000.0
BR,2021-10-29,20800000000.0
BR,2022-01-27,17530000000.0
BR,2022-04-28,17610000000.0
BR,2022-08-05,19690000000.0
BR,2022-10-28,17520000000.0
BR,2023-01-27,17590000000.0
BR,2023-08-04,19570000000.0
BR,2023-10-30,19940000000.0
BR,2024-01-29,24520000000.0
BR,2024-05-03,23500000000.0
BR,2024-08-01,25090000000.0
BR,2024-10-31,24650000000.0
BR,2025-01-28,27840000000.0
