Company,Date,Market Cap
BWA,2010-02-05,4059999999.9999995
BWA,2010-03-31,4490000000.0
BWA,2010-06-30,4260000000.0
BWA,2010-10-20,6170000000.0
BWA,2011-02-04,7490000000.0
BWA,2011-04-21,8430000000.0
BWA,2011-07-21,8369999999.999999
BWA,2011-10-24,8170000000.0
BWA,2012-02-08,8400000000.0
BWA,2012-04-20,9240000000.0
BWA,2012-07-20,7320000000.0
BWA,2012-10-25,7570000000.0
BWA,2013-02-08,8670000000.0
BWA,2013-04-19,8400000000.0
BWA,2013-07-19,10440000000.0
BWA,2013-10-25,12090000000.0
BWA,2013-12-17,12600000000.0
BWA,2014-02-07,12290000000.0
BWA,2014-04-25,14090000000.0
BWA,2014-07-25,15040000000.0
BWA,2014-10-24,12800000000.0
BWA,2015-02-06,13260000000.0
BWA,2015-04-24,13750000000.0
BWA,2015-07-24,11510000000.0
BWA,2015-10-23,9790000000.0
BWA,2016-02-05,6440000000.0
BWA,2016-04-22,8369999999.999999
BWA,2016-07-22,7080000000.0
BWA,2016-10-21,7410000000.0
BWA,2017-02-03,8640000000.0
BWA,2017-04-21,8380000000.000001
BWA,2017-07-21,9480000000.0
BWA,2017-10-20,11010000000.0
BWA,2018-02-02,11470000000.0
BWA,2018-04-20,11080000000.0
BWA,2018-07-20,9260000000.0
BWA,2018-10-19,7640000000.0
BWA,2019-02-08,7950000000.0
BWA,2019-04-19,9120000000.0
BWA,2019-07-19,8270000000.0
BWA,2019-07-31,2250000000.0
BWA,2020-02-07,6930000000.0
BWA,2020-05-01,5630000000.0
BWA,2020-07-31,7590000000.0
BWA,2020-10-23,9720000000.0
BWA,2021-02-16,10460000000.0
BWA,2021-04-30,11650000000.0
BWA,2021-07-30,11740000000.0
BWA,2021-10-29,10810000000.0
BWA,2022-02-11,10410000000.0
BWA,2022-04-29,8820000000.0
BWA,2022-07-29,9110000000.0
BWA,2022-10-21,8090000000.0
BWA,2023-02-03,11150000000.0
BWA,2023-04-28,11280000000.0
BWA,2023-07-28,10860000000.0
BWA,2023-10-27,8620000000.0
BWA,2024-02-02,7830000000.0
BWA,2024-04-25,7480000000.0
BWA,2024-07-26,7470000000.0
BWA,2024-10-25,7350000000.0
BWA,2025-01-31,6980000000.0
