Company,Date,Market Cap
CARR,2020-04-30,15340000000.0
CARR,2020-06-30,19250000000.0
CARR,2020-09-30,26470000000.0
CARR,2021-01-31,33460000000.0
CARR,2021-04-21,37420000000.0
CARR,2021-07-15,43000000000.0
CARR,2021-10-15,46300000000.0
CARR,2022-01-31,40790000000.0
CARR,2022-04-15,35020000000.0
CARR,2022-07-15,30300000000.0
CARR,2022-10-14,28910000000.0
CARR,2023-01-31,37980000000.0
CARR,2023-04-17,37380000000.0
CARR,2023-07-17,45700000000.0
CARR,2023-10-16,44600000000.0
CARR,2024-01-31,49150000000.0
CARR,2024-04-15,49970000000.0
CARR,2024-07-15,60810000000.0
CARR,2024-10-15,73220000000.0
