Company,Date,Market Cap
CAT,2010-03-31,39450000000.0
CAT,2010-06-30,37870000000.0
CAT,2010-09-30,49940000000.0
CAT,2010-12-31,59830000000.0
CAT,2011-03-31,71760000000.0
CAT,2011-06-30,68780000000.0
CAT,2011-09-30,47750000000.0
CAT,2011-12-31,58670000000.0
CAT,2012-03-31,69490000000.0
CAT,2012-06-30,55470000000.0
CAT,2012-09-30,56260000000.0
CAT,2012-12-31,58700000000.0
CAT,2013-03-31,57180000000.0
CAT,2013-06-30,53420000000.0
CAT,2013-09-30,53070000000.0
CAT,2013-12-31,57920000000.0
CAT,2014-03-31,62030000000.0
CAT,2014-06-30,68230000000.00001
CAT,2014-09-30,59950000000.0
CAT,2014-12-31,55480000000.0
CAT,2015-03-31,48310000000.0
CAT,2015-06-30,51120000000.0
CAT,2015-09-30,38050000000.0
CAT,2015-12-31,39570000000.0
CAT,2016-03-31,44690000000.0
CAT,2016-06-30,44290000000.0
CAT,2016-09-30,51940000000.0
CAT,2016-12-31,54390000000.0
CAT,2017-03-31,54640000000.0
CAT,2017-06-30,63510000000.0
CAT,2017-09-30,74190000000.0
CAT,2017-12-31,94170000000.0
CAT,2018-03-31,88120000000.0
CAT,2018-06-30,80630000000.0
CAT,2018-09-30,89990000000.0
CAT,2018-12-31,73130000000.0
CAT,2019-03-31,77460000000.0
CAT,2019-06-30,76680000000.0
CAT,2019-09-30,69810000000.0
CAT,2019-12-31,81240000000.0
CAT,2020-03-31,62890000000.0
CAT,2020-06-30,68500000000.0
CAT,2020-09-30,81030000000.0
CAT,2020-12-31,99260000000.0
CAT,2021-03-31,127010000000.0
CAT,2021-06-30,119150000000.0
CAT,2021-09-30,103840000000.0
CAT,2021-12-31,110790000000.0
CAT,2022-03-31,118840000000.0
CAT,2022-06-30,94370000000.0
CAT,2022-09-30,85390000000.0
CAT,2022-12-31,123700000000.0
CAT,2023-03-31,118060000000.0
CAT,2023-06-30,125520000000.0
CAT,2023-09-30,138980000000.0
CAT,2023-12-31,147650000000.0
CAT,2024-03-31,179280000000.0
CAT,2024-06-30,161520000000.0
CAT,2024-09-30,188830000000.0
