Company,Date,Market Cap
CCI,2010-02-05,10330000000.0
CCI,2010-04-30,10990000000.0
CCI,2010-07-31,11470000000.0
CCI,2010-10-31,12540000000.0
CCI,2011-02-05,13060000000.0
CCI,2011-04-29,12450000000.0
CCI,2011-07-29,12430000000.0
CCI,2011-10-28,12040000000.0
CCI,2012-02-06,14020000000.0
CCI,2012-04-27,16590000000.0
CCI,2012-07-27,18080000000.0
CCI,2012-10-29,19480000000.0
CCI,2013-02-05,20830000000.0
CCI,2013-04-29,22720000000.0
CCI,2013-07-29,21220000000.0
CCI,2013-11-01,25120000000.0
CCI,2014-02-14,25060000000.0
CCI,2014-05-02,24890000000.0
CCI,2014-08-04,24400000000.0
CCI,2014-11-03,26370000000.0
CCI,2015-02-13,29380000000.0
CCI,2015-05-04,27740000000.0
CCI,2015-08-05,27450000000.0
CCI,2015-11-04,29150000000.0
CCI,2016-02-15,27750000000.0
CCI,2016-05-05,29690000000.0
CCI,2016-08-01,32990000000.000004
CCI,2016-10-28,30920000000.0
CCI,2017-02-15,32460000000.0
CCI,2017-05-02,34540000000.0
CCI,2017-08-04,41450000000.0
CCI,2017-11-02,43220000000.0
CCI,2018-02-21,43450000000.0
CCI,2018-05-01,41840000000.0
CCI,2018-08-03,46670000000.0
CCI,2018-11-02,45360000000.0
CCI,2019-02-22,49810000000.0
CCI,2019-05-01,51740000000.0
CCI,2019-07-29,54110000000.0
CCI,2019-11-01,57130000000.0
CCI,2020-03-06,67019999999.99999
CCI,2020-05-01,65180000000.00001
CCI,2020-07-29,72970000000.0
CCI,2020-10-23,68349999999.99999
CCI,2021-02-17,70360000000.0
CCI,2021-04-29,81230000000.0
CCI,2021-08-03,84180000000.0
CCI,2021-11-02,79010000000.0
CCI,2022-02-18,70170000000.0
CCI,2022-04-26,81680000000.0
CCI,2022-08-02,77020000000.0
CCI,2022-11-02,55790000000.0
CCI,2023-02-21,59230000000.0
CCI,2023-05-01,52930000000.0
CCI,2023-07-31,46960000000.0
CCI,2023-10-30,39110000000.0
CCI,2024-02-20,47290000000.0
CCI,2024-07-29,46990000000.0
CCI,2024-10-28,47390000000.0
