Company,Date,Market Cap
CHRW,2010-02-22,9020000000.0
CHRW,2010-05-05,10070000000.0
CHRW,2010-08-03,11020000000.0
CHRW,2010-11-03,11710000000.0
CHRW,2011-02-22,11910000000.0
CHRW,2011-05-03,13140000000.0
CHRW,2011-08-03,11820000000.0
CHRW,2011-11-04,11280000000.0
CHRW,2012-02-22,10820000000.0
CHRW,2012-05-04,9860000000.0
CHRW,2012-08-06,8660000000.0
CHRW,2012-11-05,10000000000.0
CHRW,2013-02-22,9340000000.0
CHRW,2013-05-02,9530000000.0
CHRW,2013-08-02,9510000000.0
CHRW,2013-11-05,9240000000.0
CHRW,2014-02-24,7920000000.0
CHRW,2014-05-08,8670000000.0
CHRW,2014-08-06,9740000000.0
CHRW,2014-11-06,10470000000.0
CHRW,2015-02-24,10830000000.0
CHRW,2015-05-07,9510000000.0
CHRW,2015-08-06,9880000000.0
CHRW,2015-11-06,9870000000.0
CHRW,2016-02-24,10060000000.0
CHRW,2016-05-05,10120000000.0
CHRW,2016-08-04,9770000000.0
CHRW,2016-11-04,9730000000.0
CHRW,2017-02-24,11330000000.0
CHRW,2017-05-05,10340000000.0
CHRW,2017-07-31,9210000000.0
CHRW,2017-11-06,11020000000.0
CHRW,2018-02-22,12590000000.0
CHRW,2018-05-04,11490000000.0
CHRW,2018-08-06,13330000000.0
CHRW,2018-11-06,12210000000.0
CHRW,2019-02-20,12590000000.0
CHRW,2019-05-06,11360000000.0
CHRW,2019-08-06,11010000000.0
CHRW,2019-10-31,10230000000.0
CHRW,2020-02-14,9710000000.0
CHRW,2020-04-29,9590000000.0
CHRW,2020-07-28,11750000000.0
CHRW,2020-10-28,12040000000.0
CHRW,2021-02-17,12040000000.0
CHRW,2021-04-28,12450000000.0
CHRW,2021-07-28,11660000000.0
CHRW,2021-10-27,12690000000.0
CHRW,2022-02-16,11640000000.0
CHRW,2022-04-27,13090000000.0
CHRW,2022-07-27,12530000000.0
CHRW,2022-11-02,10380000000.0
CHRW,2023-02-15,12250000000.0
CHRW,2023-04-26,10770000000.0
CHRW,2023-08-02,11350000000.0
CHRW,2023-11-01,9500000000.0
CHRW,2024-05-01,8439999999.999999
CHRW,2024-07-31,10440000000.0
CHRW,2024-10-30,12960000000.0
