Company,Date,Market Cap
CHTR,2016-06-30,61940000000.0
CHTR,2016-09-30,73070000000.0
CHTR,2016-12-31,77420000000.0
CHTR,2017-03-31,87570000000.0
CHTR,2017-06-30,86870000000.0
CHTR,2017-09-30,90350000000.0
CHTR,2017-12-31,80130000000.0
CHTR,2018-03-31,73900000000.0
CHTR,2018-06-30,67980000000.00001
CHTR,2018-09-30,74600000000.0
CHTR,2018-12-31,64220000000.0
CHTR,2019-03-31,77500000000.0
CHTR,2019-06-30,87520000000.0
CHTR,2011-04-29,857400000.0
CHTR,2019-09-30,88520000000.0
CHTR,2019-12-31,101860000000.0
CHTR,2020-03-31,90080000000.0
CHTR,2020-06-30,104510000000.0
CHTR,2020-09-30,124790000000.0
CHTR,2020-12-31,128160000000.0
CHTR,2021-03-31,116410000000.0
CHTR,2021-06-30,132620000000.0
CHTR,2021-09-30,130449999999.99998
CHTR,2021-12-31,112620000000.0
CHTR,2022-03-31,91570000000.0
CHTR,2022-06-30,75270000000.0
CHTR,2022-12-31,51760000000.0
CHTR,2023-03-31,53850000000.0
CHTR,2023-06-30,54980000000.0
CHTR,2023-09-30,65060000000.0
CHTR,2023-12-31,56450000000.0
CHTR,2024-03-31,41860000000.0
CHTR,2024-06-30,42670000000.0
CHTR,2024-09-30,46080000000.0
CHTR,2024-12-31,48650000000.0
