Company,Date,Market Cap
CMG,2010-02-15,3310000000.0
CMG,2010-04-20,3900000000.0
CMG,2010-07-20,4170000000.0
CMG,2010-10-19,5630000000.0
CMG,2011-02-15,8240000000.0
CMG,2011-04-18,8820000000.0
CMG,2011-07-18,10280000000.0
CMG,2011-10-18,10010000000.0
CMG,2012-02-03,11640000000.0
CMG,2012-04-16,13700000000.0
CMG,2012-07-16,12490000000.0
CMG,2012-10-15,9300000000.0
CMG,2013-02-01,9700000000.0
CMG,2013-04-15,10420000000.0
CMG,2013-07-15,11860000000.0
CMG,2013-10-14,13680000000.0
CMG,2014-01-30,15320000000.0
CMG,2014-04-14,16820000000.0
CMG,2014-07-16,18310000000.0
CMG,2014-10-15,20080000000.0
CMG,2015-01-30,22020000000.0
CMG,2015-04-17,21230000000.0
CMG,2015-07-17,20610000000.0
CMG,2015-10-16,22540000000.0
CMG,2016-01-29,13610000000.0
CMG,2016-04-22,12930000000.0
CMG,2016-07-18,11910000000.0
CMG,2016-10-21,11930000000.0
CMG,2017-01-31,12130000000.0
CMG,2017-04-21,13730000000.0
CMG,2017-07-21,9850000000.0
CMG,2017-10-20,9170000000.0
CMG,2018-02-06,8500000000.0
CMG,2018-04-20,9230000000.0
CMG,2018-07-23,12700000000.0
CMG,2018-10-23,12070000000.0
CMG,2019-02-04,14600000000.0
CMG,2019-04-22,19450000000.0
CMG,2019-07-19,20700000000.0
CMG,2019-10-18,23390000000.0
CMG,2020-01-31,24070000000.0
CMG,2020-04-24,24610000000.0
CMG,2020-07-24,31610000000.0
CMG,2020-10-26,36710000000.0
CMG,2021-02-05,42410000000.0
CMG,2021-04-26,41400000000.0
CMG,2021-07-20,44230000000.0
CMG,2021-10-22,50420000000.0
CMG,2022-02-04,41580000000.0
CMG,2022-04-25,42390000000.0
CMG,2022-07-25,36900000000.0
CMG,2022-10-24,42850000000.0
CMG,2023-02-06,46960000000.0
CMG,2023-04-24,49580000000.0
CMG,2023-07-24,57460000000.0
CMG,2023-10-24,50910000000.0
CMG,2024-02-02,68069999999.99999
CMG,2024-04-22,79220000000.0
CMG,2024-07-22,73350000000.0
CMG,2024-10-25,80990000000.0
CMG,2025-01-31,79080000000.0
