Company,Date,Market Cap
CPRT,2010-03-11,2970000000.0
CPRT,2010-06-08,3030000000.0
CPRT,2010-09-22,3040000000.0
CPRT,2010-12-02,2720000000.0
CPRT,2011-03-04,2890000000.0
CPRT,2011-06-07,3030000000.0
CPRT,2011-09-27,2590000000.0
CPRT,2011-12-06,2960000000.0
CPRT,2012-03-08,3220000000.0
CPRT,2012-03-29,3320000000.0
CPRT,2012-06-07,3140000000.0
CPRT,2012-09-28,3440000000.0
CPRT,2012-12-07,3750000000.0
CPRT,2013-03-12,4040000000.0
CPRT,2013-06-03,4480000000.0
CPRT,2013-09-30,3990000000.0
CPRT,2013-12-10,4440000000.0
CPRT,2014-03-05,4630000000.0
CPRT,2014-06-06,4580000000.0
CPRT,2014-09-29,3980000000.0
CPRT,2014-11-25,4580000000.0
CPRT,2015-03-03,4790000000.0
CPRT,2015-05-27,4500000000.0
CPRT,2015-09-24,4070000000.0000005
CPRT,2015-11-23,4470000000.0
CPRT,2016-02-24,4120000000.0
CPRT,2016-05-25,4800000000.0
CPRT,2016-09-27,6170000000.0
CPRT,2016-11-29,6250000000.0
CPRT,2017-02-27,6840000000.0
CPRT,2017-04-11,6920000000.0
CPRT,2017-05-24,6910000000.0
CPRT,2017-09-26,7900000000.0
CPRT,2017-11-27,9660000000.0
CPRT,2018-02-26,10890000000.0
CPRT,2018-05-24,12240000000.0
CPRT,2018-09-28,12050000000.0
CPRT,2018-11-28,12110000000.0
CPRT,2019-02-27,13350000000.0
CPRT,2019-05-28,16430000000.0
CPRT,2019-09-27,18510000000.0
CPRT,2019-11-22,20750000000.0
CPRT,2020-02-26,20650000000.0
CPRT,2020-05-26,20730000000.0
CPRT,2020-09-25,24600000000.0
CPRT,2020-11-19,26880000000.0
CPRT,2021-02-22,26590000000.0
CPRT,2021-05-20,29360000000.0
CPRT,2021-09-23,34580000000.0
CPRT,2021-11-18,36940000000.0
CPRT,2022-02-28,29180000000.0
CPRT,2022-05-24,25700000000.0
CPRT,2022-09-26,25380000000.0
CPRT,2022-11-17,30550000000.0
CPRT,2023-02-23,33170000000.0
CPRT,2023-05-24,41280000000.0
CPRT,2023-09-27,41210000000.0
CPRT,2023-11-17,48220000000.0
CPRT,2024-02-26,50480000000.0
CPRT,2024-05-22,51920000000.0
CPRT,2024-09-26,50200000000.0
CPRT,2024-11-25,61420000000.0
