Company,Date,Market Cap
CPT,2010-02-19,2540000000.0
CPT,2010-05-03,3360000000.0
CPT,2010-07-26,3110000000.0
CPT,2010-11-01,3430000000.0
CPT,2011-02-17,3910000000.0
CPT,2011-04-25,4210000000.0
CPT,2011-07-22,4930000000.0
CPT,2011-10-28,4320000000.0
CPT,2012-02-10,4950000000.0
CPT,2012-04-20,5400000000.0
CPT,2012-07-27,5930000000.0
CPT,2012-10-26,5420000000.0
CPT,2013-02-08,5840000000.0
CPT,2013-04-26,6020000000.0
CPT,2013-07-19,6240000000.0
CPT,2013-10-25,5550000000.0
CPT,2014-02-14,5550000000.0
CPT,2014-04-30,5860000000.0
CPT,2014-05-09,6320000000.0
CPT,2014-07-25,6250000000.0
CPT,2014-10-27,6450000000.0
CPT,2015-02-13,6520000000.0
CPT,2015-04-24,6710000000.0
CPT,2015-07-24,6860000000.0
CPT,2015-10-23,6780000000.0
CPT,2016-04-22,7070000000.0
CPT,2016-07-22,7830000000.0
CPT,2016-10-21,6890000000.0
CPT,2017-02-10,7190000000.0
CPT,2017-04-28,7220000000.0
CPT,2017-07-21,7810000000.0
CPT,2017-10-20,8550000000.000001
CPT,2018-02-09,7490000000.0
CPT,2018-04-27,7990000000.0
CPT,2018-07-27,8380000000.000001
CPT,2018-10-19,8660000000.0
CPT,2019-02-07,9250000000.0
CPT,2019-04-26,9730000000.0
CPT,2019-07-19,10270000000.0
CPT,2019-10-25,11020000000.0
CPT,2020-02-13,11440000000.0
CPT,2020-05-01,8289999999.999999
CPT,2020-07-24,8720000000.0
CPT,2020-10-23,9000000000.0
CPT,2021-02-11,10340000000.0
CPT,2021-04-16,11340000000.0
CPT,2021-07-16,14480000000.0
CPT,2021-10-22,16250000000.0
CPT,2022-02-10,16980000000.0
CPT,2022-04-22,17800000000.0
CPT,2022-07-22,14470000000.0
CPT,2022-10-21,12130000000.0
CPT,2023-02-16,12810000000.0
CPT,2023-04-21,11400000000.0
CPT,2023-07-28,11590000000.0
CPT,2023-10-20,9910000000.0
CPT,2024-02-15,10420000000.0
CPT,2024-04-26,10610000000.0
CPT,2024-07-26,12050000000.0
CPT,2024-10-25,12620000000.0
