Company,Date,Market Cap
CRL,2010-02-12,2400000000.0
CRL,2010-04-15,2710000000.0
CRL,2010-07-15,2320000000.0
CRL,2010-10-15,1910000000.0
CRL,2011-02-10,2100000000.0
CRL,2011-04-15,2180000000.0
CRL,2011-07-15,2120000000.0
CRL,2011-10-17,1400000000.0
CRL,2012-02-17,1750000000.0
CRL,2012-03-31,1770000000.0
CRL,2012-06-30,1600000000.0
CRL,2012-09-29,1920000000.0
CRL,2013-02-15,1950000000.0
CRL,2013-04-22,2069999999.9999998
CRL,2013-07-22,2190000000.0
CRL,2013-10-21,2300000000.0
CRL,2014-02-16,2780000000.0
CRL,2014-04-18,2760000000.0
CRL,2014-06-28,2460000000.0
CRL,2014-10-16,2820000000.0
CRL,2015-01-30,3280000000.0
CRL,2015-04-15,3730000000.0
CRL,2015-07-15,3500000000.0
CRL,2015-10-16,3080000000.0
CRL,2016-01-29,3470000000.0
CRL,2016-04-18,3850000000.0
CRL,2016-07-18,4030000000.0000005
CRL,2016-10-17,3790000000.0
CRL,2017-01-27,3740000000.0
CRL,2017-04-24,4240000000.0
CRL,2017-07-28,4640000000.0
CRL,2017-10-27,5560000000.0
CRL,2018-01-26,5110000000.0
CRL,2018-04-27,5030000000.0
CRL,2018-07-27,5870000000.0
CRL,2018-10-26,5690000000.0
CRL,2019-01-25,5730000000.0
CRL,2019-04-26,6960000000.0
CRL,2019-07-26,6830000000.0
CRL,2019-09-05,7230000000.0
CRL,2019-10-25,6300000000.0
CRL,2020-01-24,7600000000.0
CRL,2020-04-24,6780000000.0
CRL,2020-07-24,9580000000.0
CRL,2020-10-23,11580000000.0
CRL,2021-01-22,13950000000.0
CRL,2021-04-23,16800000000.0
CRL,2021-07-23,19970000000.0
CRL,2021-10-22,21230000000.0
CRL,2022-01-21,16390000000.0
CRL,2022-04-22,13870000000.0
CRL,2022-07-22,12060000000.0
CRL,2022-10-21,10180000000.0
CRL,2023-01-25,12280000000.0
CRL,2023-04-28,9730000000.0
CRL,2023-07-28,10790000000.0
CRL,2023-10-27,8850000000.0
CRL,2024-01-27,11310000000.0
CRL,2024-04-27,11800000000.0
CRL,2024-07-27,12050000000.0
CRL,2024-10-26,9310000000.0
