Company,Date,Market Cap
CSGP,2010-02-19,826960000.0
CSGP,2010-04-16,937400000.0
CSGP,2010-07-16,814310000.0
CSGP,2010-10-15,1070000000.0000001
CSGP,2011-02-18,1270000000.0
CSGP,2011-04-22,1270000000.0
CSGP,2011-07-22,1470000000.0
CSGP,2011-10-21,1420000000.0
CSGP,2012-02-17,1510000000.0
CSGP,2012-04-20,1830000000.0
CSGP,2012-07-20,2220000000.0
CSGP,2012-10-19,2190000000.0
CSGP,2013-02-22,2730000000.0
CSGP,2013-04-19,3060000000.0
CSGP,2013-07-19,3930000000.0
CSGP,2013-10-18,5020000000.0
CSGP,2014-02-14,5240000000.0
CSGP,2014-04-18,4760000000.0
CSGP,2014-07-18,4600000000.0
CSGP,2014-10-24,4800000000.0
CSGP,2015-02-20,6180000000.0
CSGP,2015-04-24,6470000000.0
CSGP,2015-07-24,6980000000.0
CSGP,2015-10-23,6200000000.0
CSGP,2016-02-19,5580000000.0
CSGP,2016-04-22,6000000000.0
CSGP,2016-07-22,7240000000.0
CSGP,2016-10-21,6840000000.0
CSGP,2017-02-17,6840000000.0
CSGP,2017-04-21,7050000000.0
CSGP,2017-07-21,9090000000.0
CSGP,2017-10-20,10210000000.0
CSGP,2018-02-16,12640000000.0
CSGP,2018-04-20,13720000000.0
CSGP,2018-07-20,15470000000.0
CSGP,2018-10-19,13970000000.0
CSGP,2019-02-22,15010000000.0
CSGP,2019-04-19,17600000000.0
CSGP,2019-07-19,21310000000.0
CSGP,2019-03-31,2032000000000.0
CSGP,2019-10-18,21550000000.0
CSGP,2020-02-21,26250000000.0
CSGP,2020-04-24,21800000000.0
CSGP,2020-07-24,27710000000.0
CSGP,2020-10-23,32320000000.0
CSGP,2021-02-19,35990000000.0
CSGP,2021-04-23,36880000000.0
CSGP,2021-06-28,33540000000.0
CSGP,2021-07-23,35530000000.0
CSGP,2021-10-22,39210000000.0
CSGP,2022-02-18,25650000000.0
CSGP,2022-04-22,24250000000.0
CSGP,2022-07-22,24470000000.0
CSGP,2022-10-21,29200000000.0
CSGP,2023-02-17,31550000000.0
CSGP,2023-04-21,28600000000.0
CSGP,2023-07-21,37030000000.0
CSGP,2023-10-20,30150000000.0
CSGP,2024-02-16,33240000000.000004
CSGP,2024-04-22,34840000000.0
CSGP,2024-07-22,30950000000.0
CSGP,2024-10-21,31710000000.0
